#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 16:13:04.744.667.730
#Sample rate: 344828Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.03484051163615318,-0.03502052412026438
-0.03483761163615318,-0.03605392869334637
-0.03483471163615318,-0.03851820113684955
-0.03483181163615318,-0.03899515709365661
-0.03482891163615318,-0.04018754698567428
-0.03482601163615318,-0.04312877538598454
-0.03482311163615318,-0.04408268729959867
-0.03482021163615318,-0.04376471666172729
-0.03481731163615318,-0.04503659921321282
-0.03481441163615318,-0.04726239367831246
-0.03481151163615318,-0.04964717346234782
-0.03480861163615317,-0.05147550463010823
-0.03480571163615317,-0.0528268798410616
-0.03480281163615317,-0.05274738718159375
-0.03479991163615317,-0.05433724037095064
-0.03479701163615317,-0.05711948345232522
-0.03479411163615317,-0.05711948345232522
-0.03479121163615317,-0.05815288802540719
-0.03478831163615317,-0.06125310174465314
-0.03478541163615317,-0.06220701365826728
-0.03478251163615317,-0.06252498429613865
-0.03477961163615317,-0.06522773471804538
-0.03477671163615317,-0.06689708056687084
-0.03477381163615317,-0.06729454386421339
-0.03477091163615317,-0.06952033832931175
-0.03476801163615317,-0.07103069885919919
-0.03476511163615317,-0.07166664013494514
-0.03476221163615317,-0.07405141991897875
-0.03475931163615318,-0.07548228778939474
-0.03475641163615318,-0.07603873640567124
-0.03475351163615318,-0.07850300884917095
-0.03475061163615318,-0.07961590608172324
-0.03474771163615318,-0.08025184735746688
-0.03474481163615318,-0.08303409043883753
-0.03474191163615318,-0.0843854656497935
-0.03473901163615318,-0.0844649583092638
-0.03473611163615318,-0.0866112601148956
-0.03473321163615318,-0.08836009862318819
-0.03473031163615318,-0.08875756192052742
-0.03472741163615318,-0.09066538574775569
-0.03472451163615318,-0.09233473159658043
-0.03472161163615318,-0.09297067287232318
-0.03471871163615318,-0.09519646733742283
-0.03471581163615318,-0.09670682786731188
-0.03471291163615318,-0.09726327648358679
-0.03471001163615318,-0.09901211499187938
-0.03470711163615318,-0.1008404461596398
-0.03470421163615318,-0.1010789241380433
-0.03470131163615318,-0.1030662406247395
-0.03469841163615318,-0.1052920350898391
-0.03469551163615318,-0.1052125424303713
-0.03469261163615318,-0.1052125424303713
-0.03468971163615318,-0.1079947855117458
-0.03468681163615318,-0.110459057955249
-0.03468391163615318,-0.1113334772093953
-0.03468101163615318,-0.1133207936960914
-0.03467811163615318,-0.1136387643339628
-0.03467521163615318,-0.1144336909286413
-0.03467231163615318,-0.1168184707126766
-0.03466941163615318,-0.1175339046478872
-0.03466651163615318,-0.1178518752857586
-0.03466361163615318,-0.120713611026601
-0.03466071163615318,-0.12222397155649
-0.03465781163615318,-0.1225419421943614
-0.03465491163615318,-0.1249267219783968
-0.03465201163615318,-0.1267550531461572
-0.03464911163615318,-0.1272320091029642
-0.03464621163615317,-0.1283449063355141
-0.03464331163615317,-0.1311271494168886
-0.03464041163615317,-0.1312066420763565
-0.03463751163615317,-0.1306501934600816
-0.03463461163615317,-0.1341478704766667
-0.03463171163615317,-0.1352607677092166
-0.03462881163615317,-0.1354197530281522
-0.03462591163615317,-0.1378840254716554
-0.03462301163615317,-0.1389969227042053
-0.03462011163615317,-0.1393943860015445
-0.03461721163615317,-0.1413817024882424
-0.03461431163615317,-0.1423356144018545
-0.03461141163615317,-0.1421766290829234
-0.03460851163615317,-0.1445614088669571
-0.03460561163615317,-0.1460717693968437
-0.03460271163615317,-0.1462307547157835
-0.03459981163615317,-0.1486155344998156
-0.03459691163615318,-0.1492514757755561
-0.03459401163615318,-0.1496489390728957
-0.03459111163615318,-0.1521927041758628
-0.03458821163615318,-0.1532261087489476
-0.03458531163615318,-0.1530671234300141
-0.03458241163615318,-0.1556903811924479
-0.03457951163615318,-0.1569622637439382
-0.03457661163615318,-0.1571212490628739
-0.03457371163615318,-0.1589495802306343
-0.03457081163615318,-0.1603009554415877
-0.03456791163615318,-0.158075160976488
-0.03456501163615318,-0.1603009554415877
-0.03456211163615318,-0.1645140663933834
-0.03455921163615318,-0.1642755884149799
-0.03455631163615318,-0.1643550810744477
-0.03455341163615318,-0.1669783388368866
-0.03455051163615318,-0.1671373241558223
-0.03454761163615318,-0.1680912360694364
-0.03454471163615318,-0.1703965231940039
-0.03454181163615318,-0.1707939864913431
-0.03453891163615318,-0.1714299277670859
-0.03453601163615318,-0.1738942002105891
-0.03453311163615318,-0.1748481121242032
-0.03453021163615318,-0.1747686194647354
-0.03452731163615318,-0.1773123845677064
-0.03452441163615318,-0.1781868038218527
-0.03452151163615318,-0.1782662964813206
-0.03451861163615318,-0.1803331056274845
-0.03451571163615318,-0.1819229588168414
-0.03451281163615318,-0.1818434661573736
-0.03450991163615318,-0.1832743340277948
-0.03450701163615318,-0.1855796211523623
-0.03450411163615318,-0.1848641872171517
-0.03450121163615318,-0.1855796211523623
-0.03449831163615318,-0.1881233862553333
-0.03449541163615318,-0.1879644009363976
-0.03449251163615318,-0.1885208495526725
-0.03448961163615318,-0.1907466440177722
-0.03448671163615318,-0.1911441073151114
-0.03448381163615317,-0.1912235999745792
-0.03448091163615317,-0.1935288870991467
-0.03447801163615317,-0.1950392476290358
-0.03447511163615317,-0.1947212769911644
-0.03447221163615317,-0.1965496081589248
-0.03446931163615317,-0.1985369246456209
-0.03446641163615317,-0.1981394613482817
-0.03446351163615317,-0.1993318512402994
-0.03446061163615317,-0.2013986603864634
-0.03445771163615317,-0.2011601824080598
-0.03445481163615317,-0.2021140943216779
-0.03445191163615317,-0.2042603961273058
-0.03444901163615317,-0.2042603961273071
-0.03444611163615317,-0.2049758300625162
-0.03444321163615317,-0.2048963374030487
-0.03444031163615317,-0.2049758300625207
-0.03443741163615318,-0.2073606098465474
-0.03443451163615318,-0.2092684336737765
-0.03443161163615318,-0.210063360268457
-0.03442871163615318,-0.2095864043116522
-0.03442581163615318,-0.21101727218207
-0.03442291163615318,-0.2130045886687651
-0.03442001163615318,-0.2132430666471718
-0.03441711163615318,-0.2137995152634471
-0.03441421163615318,-0.2158663244096111
-0.03441131163615318,-0.2168202363232252
-0.03440841163615318,-0.2168202363232252
-0.03440551163615318,-0.2187280601504535
-0.03440261163615318,-0.219522986745132
-0.03439971163615318,-0.2198409573830033
-0.03439681163615318,-0.2216692885507638
-0.03439391163615318,-0.2224642151454422
-0.03439101163615318,-0.2225437078049101
-0.03438811163615318,-0.2240540683347991
-0.03438521163615318,-0.2251669655673489
