#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 12:42:41.341.159.380
#Sample rate: 1.49254e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01097698222222222,-0.1136387643339628
-0.01097631222222222,-0.1140362276313013
-0.01097564222222222,-0.1136387643339628
-0.01097497222222222,-0.1134797790150271
-0.01097430222222222,-0.1138772423123663
-0.01097363222222222,-0.1137182569934295
-0.01097296222222222,-0.1130823157176879
-0.01097229222222222,-0.1130823157176879
-0.01097162222222222,-0.1136387643339618
-0.01097095222222222,-0.1137182569934306
-0.01097028222222222,-0.1134002863555593
-0.01096961222222222,-0.1134797790150271
-0.01096894222222222,-0.1133207936960911
-0.01096827222222222,-0.1131618083771557
-0.01096760222222222,-0.1129233303987522
-0.01096693222222222,-0.1127643450798168
-0.01096626222222222,-0.1122873891230095
-0.01096559222222222,-0.1126053597608808
-0.01096492222222222,-0.1132413010366224
-0.01096425222222222,-0.1130823157176879
-0.01096358222222222,-0.1126053597608808
-0.01096291222222222,-0.1124463744419451
-0.01096224222222222,-0.1128438377392845
-0.01096157222222222,-0.1129233303987522
-0.01096090222222222,-0.1126848524203487
-0.01096023222222222,-0.1121284038040748
-0.01095956222222222,-0.1117309405067345
-0.01095889222222222,-0.1122078964635416
-0.01095822222222222,-0.1121284038040738
-0.01095755222222222,-0.1115719551877983
-0.01095688222222222,-0.1112539845499275
-0.01095621222222222,-0.1115719551877988
-0.01095554222222222,-0.111810433166202
-0.01095487222222222,-0.1114129698688632
-0.01095420222222222,-0.1118104331662024
-0.01095353222222222,-0.1114924625283316
-0.01095286222222222,-0.1109360139120561
-0.01095219222222222,-0.1112539845499275
-0.01095152222222222,-0.1109360139120561
-0.01095085222222222,-0.1110949992309921
-0.01095018222222222,-0.1112539845499275
-0.01094951222222222,-0.1116514478472667
-0.01094884222222222,-0.111571955187799
-0.01094817222222222,-0.1119694184851381
-0.01094750222222222,-0.1120489111446059
-0.01094683222222222,-0.1119694184851381
-0.01094616222222222,-0.1115719551877986
-0.01094549222222222,-0.1114129698688632
-0.01094482222222222,-0.1117309405067345
-0.01094415222222222,-0.1112539845499283
-0.01094348222222222,-0.111492462528331
