#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 12:44:37.605.387.370
#Sample rate: 1.42857e+07Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.001146854210526316,-0.1590290728901021
-0.001146784210526316,-0.1584726242738272
-0.001146714210526316,-0.1579161756575523
-0.001146644210526316,-0.1579161756575523
-0.001146574210526316,-0.1579956683170201
-0.001146504210526316,-0.1579161756575523
-0.001146434210526316,-0.1593470435279735
-0.001146364210526316,-0.1583136389548917
-0.001146294210526316,-0.1583931316143599
-0.001146224210526316,-0.1587111022522306
-0.001146154210526316,-0.158631609592763
-0.001146084210526316,-0.1587905949116983
-0.001146014210526316,-0.1592675508685057
-0.001145944210526316,-0.1587905949116986
-0.001145874210526316,-0.1576776976791488
-0.001145804210526316,-0.1578366829980845
-0.001145734210526316,-0.1583136389548915
-0.001145664210526316,-0.1576776976791488
-0.001145594210526316,-0.1579161756575523
-0.001145524210526316,-0.1578366829980846
-0.001145454210526316,-0.1579161756575524
-0.001145384210526316,-0.1579956683170206
-0.001145314210526316,-0.1582341462954232
-0.001145244210526316,-0.1578366829980852
-0.001145174210526316,-0.1587111022522308
-0.001145104210526316,-0.1579161756575523
-0.001145034210526316,-0.157041756403406
-0.001144964210526316,-0.1577571903386166
-0.001144894210526316,-0.1579161756575523
-0.001144824210526316,-0.1579956683170201
-0.001144754210526316,-0.158075160976488
-0.001144684210526316,-0.1583136389548902
-0.001144614210526316,-0.1575982050196797
-0.001144544210526316,-0.1569622637439389
-0.001144474210526316,-0.1573597270412767
-0.001144404210526316,-0.1567237857655358
-0.001144334210526316,-0.1579956683170201
-0.001144264210526316,-0.1574392197007452
-0.001144194210526316,-0.1573597270412774
-0.001144124210526316,-0.1562468298087276
-0.001144054210526316,-0.157041756403406
-0.001143984210526316,-0.1565648004465989
-0.001143914210526316,-0.1568827710844703
-0.001143844210526316,-0.1576776976791472
-0.001143774210526316,-0.156803278425002
-0.001143704210526316,-0.1565648004466001
-0.001143634210526316,-0.1572007417223405
-0.001143564210526316,-0.1556903811924554
-0.001143494210526316,-0.156008351830324
-0.001143424210526316,-0.1562468298087276
-0.001143354210526316,-0.1560878444897919
-0.001143284210526316,-0.1559288591708562
-0.001143214210526316,-0.1564853077871311
-0.001143144210526316,-0.1564853077871311
-0.001143074210526316,-0.1572802343818095
-0.001143004210526316,-0.1559288591708561
-0.001142934210526316,-0.155849366511387
-0.001142864210526316,-0.1551339325761783
-0.001142794210526316,-0.1554519032140485
-0.001142724210526316,-0.1559288591708553
-0.001142654210526316,-0.1559288591708562
-0.001142584210526316,-0.1569622637439382
-0.001142514210526316,-0.1557698738519205
-0.001142444210526316,-0.1559288591708562
-0.001142374210526316,-0.1560878444897919
-0.001142304210526316,-0.1554519032140491
-0.001142234210526316,-0.1556108885329848
-0.001142164210526316,-0.1551339325761777
-0.001142094210526316,-0.156564800446596
-0.001142024210526316,-0.1549749472572432
-0.001141954210526316,-0.1556108885329836
-0.001141884210526316,-0.1547364692788401
-0.001141814210526316,-0.1554519032140478
-0.001141744210526316,-0.1556108885329848
-0.001141674210526316,-0.1554519032140491
-0.001141604210526316,-0.1553724105545813
-0.001141534210526316,-0.1553724105545813
-0.001141464210526316,-0.1547364692788385
-0.001141394210526316,-0.1546569766193707
-0.001141324210526316,-0.1550544399167099
-0.001141254210526316,-0.1543390059815007
-0.001141184210526316,-0.155133932576177
-0.001141114210526316,-0.1547364692788392
-0.001141044210526316,-0.1548159619383062
-0.001140974210526316,-0.1548954545977741
-0.001140904210526316,-0.1551339325761777
-0.001140834210526316,-0.1547364692788385
-0.001140764210526316,-0.1538620500246922
-0.001140694210526316,-0.1541800206625636
-0.001140624210526316,-0.1538620500246922
-0.001140554210526316,-0.1541005280030958
-0.001140484210526316,-0.1540210353436279
-0.001140414210526316,-0.1533056014084165
-0.001140344210526316,-0.1528286454516115
-0.001140274210526316,-0.1535440793868195
-0.001140204210526316,-0.1523516894948053
-0.001140134210526316,-0.153464586727351
-0.001140064210526316,-0.1535440793868209
-0.001139994210526316,-0.1533056014084173
-0.001139924210526316,-0.1535440793868209
-0.001139854210526316,-0.1525901674732067
-0.001139784210526316,-0.1527491527921424
-0.001139714210526316,-0.1525901674732067
-0.001139644210526316,-0.1529876307705459
-0.001139574210526316,-0.152510674813739
-0.001139504210526316,-0.1525901674732068
-0.001139434210526316,-0.1526696601326744
-0.001139364210526316,-0.1525106748137391
-0.001139294210526316,-0.1532261087489482
-0.001139224210526316,-0.1525901674732067
-0.001139154210526316,-0.1527491527921424
-0.001139084210526316,-0.152431182154271
-0.001139014210526316,-0.1522721968353353
-0.001138944210526316,-0.1528286454516102
-0.001138874210526316,-0.1514772702406569
-0.001138804210526316,-0.152431182154271
-0.001138734210526316,-0.1504438656675758
-0.001138664210526316,-0.1509208216243841
-0.001138594210526316,-0.1521132115163975
-0.001138524210526316,-0.1521132115163996
-0.001138454210526316,-0.152272196835335
