#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 12:49:08.622.427.830
#Sample rate: 1.42857e+07Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.001146854545454546,-0.6356670590592991
-0.001146784545454546,-0.6355875663998312
-0.001146714545454546,-0.6361440150161061
-0.001146644545454546,-0.636223507675574
-0.001146574545454545,-0.6359850296971704
-0.001146504545454545,-0.6349516251240884
-0.001146434545454545,-0.6360645223566382
-0.001146364545454545,-0.6358260443782342
-0.001146294545454545,-0.6355080737403634
-0.001146224545454545,-0.635587566399831
-0.001146154545454546,-0.6355080737403634
-0.001146084545454546,-0.6356670590592988
-0.001146014545454546,-0.6344746691672813
-0.001145944545454546,-0.6348721324646206
-0.001145874545454546,-0.636223507675574
-0.001145804545454546,-0.6350311177835563
-0.001145734545454545,-0.6359850296971704
-0.001145664545454545,-0.6363824929945097
-0.001145594545454545,-0.6359055370377026
-0.001145524545454545,-0.6357465517187659
-0.001145454545454545,-0.6351901031024929
-0.001145384545454545,-0.6356670590592985
-0.001145314545454546,-0.6353490884214282
-0.001145244545454546,-0.6358260443782339
-0.001145174545454546,-0.6358260443782348
-0.001145104545454546,-0.6352695957619598
-0.001145034545454546,-0.6348721324646206
-0.001144964545454546,-0.6363030003350418
-0.001144894545454545,-0.6355875663998312
-0.001144824545454545,-0.6351106104430241
-0.001144754545454545,-0.6355080737403633
-0.001144684545454545,-0.6354285810808959
-0.001144614545454545,-0.6356670590592992
-0.001144544545454545,-0.6357465517187678
-0.001144474545454546,-0.6362235076755731
-0.001144404545454546,-0.6355875663998323
-0.001144334545454546,-0.6356670590592991
-0.001144264545454546,-0.6352695957619598
-0.001144194545454546,-0.6343951765078135
-0.001144124545454546,-0.6345541618267492
-0.001144054545454545,-0.635190103102492
-0.001143984545454545,-0.6346336544862171
-0.001143914545454545,-0.6346336544862171
-0.001143844545454545,-0.6358260443782333
-0.001143774545454545,-0.6350311177835564
-0.001143704545454545,-0.6351106104430236
-0.001143634545454546,-0.634872132464621
-0.001143564545454546,-0.6347131471456853
-0.001143494545454546,-0.6355875663998312
-0.001143424545454546,-0.6354285810808955
-0.001143354545454546,-0.6353490884214277
-0.001143284545454546,-0.6348721324646206
-0.001143214545454545,-0.6340772058699422
-0.001143144545454545,-0.6346336544862171
-0.001143074545454545,-0.6349516251240884
-0.001143004545454545,-0.6345541618267476
-0.001142934545454545,-0.6336797425726033
-0.001142864545454545,-0.6338387278915391
-0.001142794545454546,-0.6340772058699418
-0.001142724545454546,-0.6343156838483452
-0.001142654545454546,-0.6342361911888779
-0.001142584545454546,-0.6349516251240884
-0.001142514545454546,-0.6339977132104743
-0.001142444545454546,-0.63415669852941
-0.001142374545454546,-0.6343951765078135
-0.001142304545454545,-0.6339977132104743
-0.001142234545454545,-0.6350311177835563
-0.001142164545454545,-0.6347131471456849
-0.001142094545454545,-0.6341566985294104
-0.001142024545454545,-0.6343156838483449
-0.001141954545454546,-0.6339182205510072
-0.001141884545454546,-0.6343951765078126
-0.001141814545454546,-0.6345541618267488
-0.001141744545454546,-0.6340772058699422
-0.001141674545454546,-0.6340772058699422
-0.001141604545454546,-0.6343951765078135
-0.001141534545454546,-0.6350311177835563
-0.001141464545454545,-0.6348721324646206
-0.001141394545454545,-0.6339977132104743
-0.001141324545454545,-0.6337592352320708
-0.001141254545454545,-0.634633654486217
-0.001141184545454545,-0.6345541618267483
-0.001141114545454546,-0.6340772058699431
-0.001141044545454546,-0.634395176507813
-0.001140974545454546,-0.6336797425726043
-0.001140904545454546,-0.6343156838483457
-0.001140834545454546,-0.6350311177835563
-0.001140764545454546,-0.6332822792752637
-0.001140694545454546,-0.6332822792752637
-0.001140624545454545,-0.6339182205510064
-0.001140554545454545,-0.6337592352320708
-0.001140484545454545,-0.6330438012968602
-0.001140414545454545,-0.6333617719347329
-0.001140344545454545,-0.6340772058699421
-0.001140274545454546,-0.6339977132104744
-0.001140204545454546,-0.6339182205510066
-0.001140134545454546,-0.6336797425726034
-0.001140064545454546,-0.6335207572536672
-0.001139994545454546,-0.6337592352320708
-0.001139924545454546,-0.633679742572603
-0.001139854545454546,-0.6335207572536672
-0.001139784545454545,-0.6342361911888779
-0.001139714545454545,-0.6329643086373923
-0.001139644545454545,-0.6340772058699422
-0.001139574545454545,-0.6328053233184556
-0.001139504545454545,-0.6322488747021831
-0.001139434545454546,-0.6329643086373909
-0.001139364545454546,-0.6330438012968601
-0.001139294545454546,-0.6329643086373924
-0.001139224545454546,-0.633123293956328
-0.001139154545454546,-0.633123293956328
-0.001139084545454546,-0.6337592352320708
-0.001139014545454546,-0.6333617719347315
-0.001138944545454545,-0.6336002499131351
-0.001138874545454545,-0.633679742572603
-0.001138804545454545,-0.6327258306589888
-0.001138734545454545,-0.6328053233184566
-0.001138664545454545,-0.6328053233184588
-0.001138594545454546,-0.633997713210472
-0.001138524545454546,-0.6342361911888774
-0.001138454545454546,-0.6342361911888779
-0.001138384545454546,-0.6332027866157959
-0.001138314545454546,-0.6337592352320708
-0.001138244545454546,-0.6335207572536672
-0.001138174545454546,-0.6339182205510064
-0.001138104545454545,-0.6321693820427139
-0.001138034545454545,-0.6336002499131351
-0.001137964545454545,-0.632646337999521
-0.001137894545454545,-0.6328053233184574
-0.001137824545454545,-0.6332027866157939
-0.001137754545454546,-0.6320898893832481
-0.001137684545454546,-0.6332027866157939
-0.001137614545454546,-0.6330438012968606
-0.001137544545454546,-0.6328053233184566
-0.001137474545454546,-0.633123293956328
-0.001137404545454546,-0.6330438012968602
-0.001137334545454546,-0.633123293956328
-0.001137264545454545,-0.6327258306589888
-0.001137194545454545,-0.6328053233184566
-0.001137124545454545,-0.6321693820427139
-0.001137054545454545,-0.6324078600211192
-0.001136984545454545,-0.6333617719347302
-0.001136914545454546,-0.6326463379995223
-0.001136844545454546,-0.6328053233184563
-0.001136774545454546,-0.6326463379995213
-0.001136704545454546,-0.6320103967237782
-0.001136634545454546,-0.6334412645941994
-0.001136564545454546,-0.6337592352320708
-0.001136494545454546,-0.6320898893832461
-0.001136424545454545,-0.6330438012968602
-0.001136354545454545,-0.6323283673616495
-0.001136284545454545,-0.6320103967237782
-0.001136214545454545,-0.6321693820427133
-0.001136144545454545,-0.6318514114048444
-0.001136074545454545,-0.6328848159779237
-0.001136004545454546,-0.6324873526805861
-0.001135934545454546,-0.6330438012968592
-0.001135864545454546,-0.6324873526805853
-0.001135794545454546,-0.6329643086373923
-0.001135724545454546,-0.6319309040643103
-0.001135654545454546,-0.6321693820427139
-0.001135584545454545,-0.6320898893832461
-0.001135514545454545,-0.6320898893832461
-0.001135444545454545,-0.6322488747021817
-0.001135374545454545,-0.6324078600211179
-0.001135304545454545,-0.6327258306589888
-0.001135234545454545,-0.6327258306589894
-0.001135164545454546,-0.6330438012968597
-0.001135094545454546,-0.6334412645941986
-0.001135024545454546,-0.632646337999521
-0.001134954545454546,-0.6330438012968602
-0.001134884545454546,-0.6330438012968602
-0.001134814545454546,-0.6323283673616495
-0.001134744545454545,-0.6328053233184566
-0.001134674545454545,-0.6324873526805853
-0.001134604545454545,-0.6328053233184566
-0.001134534545454545,-0.6317719187453765
-0.001134464545454545,-0.6328053233184566
-0.001134394545454545,-0.6328053233184576
-0.001134324545454546,-0.6333617719347305
-0.001134254545454546,-0.6326463379995223
-0.001134184545454546,-0.6335207572536672
-0.001134114545454546,-0.6324873526805853
-0.001134044545454546,-0.6330438012968602
-0.001133974545454546,-0.6328053233184566
-0.001133904545454545,-0.6327258306589888
-0.001133834545454545,-0.632646337999521
-0.001133764545454545,-0.6324078600211174
-0.001133694545454545,-0.6324873526805848
-0.001133624545454545,-0.6321693820427163
-0.001133554545454545,-0.6335207572536662
-0.001133484545454546,-0.6329643086373933
-0.001133414545454546,-0.6318514114048445
-0.001133344545454546,-0.6325668453400531
-0.001133274545454546,-0.6325668453400531
