#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 19:56:17.152
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-49.8453473333856,0
2.44140625,-53.19756732959608,0.6640099689708273
4.8828125,-63.96113295235619,2.544881663568344
7.32421875,-84.55609429582667,14.20518578202092
9.765625,-121.23516653395,49.38133113672232
12.20703125,-93.94902509693871,55.91106584760895
14.6484375,-88.71176651167931,69.872665951063
17.08984375,-87.60979032562642,77.94193085905542
19.53125,-90.67952829869675,77.70646628037493
21.97265625,-97.12659122947139,61.35713860338216
24.4140625,-98.43513861825861,13.86384600421947
26.85546875,-95.2098080357129,4.154564330540031
29.296875,-94.05968835469666,15.26847400230584
31.73828125,-93.92412798122913,23.36173413460399
34.1796875,-97.44584493891921,33.18156200901167
36.62109375,-101.5392004897984,162.8025121613073
39.0625,-90.37320553391817,18.03476550432387
41.50390625,-87.30750800276445,30.46821284253053
43.9453125,-82.62799650796669,38.66924827703205
46.38671875,-73.43674587274811,40.40331906306307
48.828125,-68.02474867124391,40.8692732999174
51.26953125,-68.65136963049842,40.67497297939342
53.7109375,-76.09563009391704,36.6491985725049
56.15234375,-94.27533061890058,173.5334056423134
58.59375,-94.26081358670115,55.07487011383429
61.03515625,-97.26924748022623,37.26956464200622
63.4765625,-106.0843972614022,176.8528525190847
65.91796875,-100.5352337112474,143.9574662792579
68.359375,-94.6564710628838,0.5960584938351062
70.80078125,-91.2877318292845,25.42628194593834
73.2421875,-92.76615482202274,46.61932119835853
75.68359375,-96.49720751599516,83.50938557374268
78.125,-100.0658994715599,119.7470494208211
80.56640625,-104.0440242823042,94.51110297737175
83.0078125,-90.98675459711542,109.2766121211175
85.44921875,-90.24650507789815,104.2427503616096
87.890625,-100.4975964751516,91.70499968331305
90.33203125,-100.2501756466276,93.94783714740683
92.7734375,-96.45767611178965,91.47875358652814
95.21484375,-95.56919344123239,105.6067418195632
97.65625,-94.34981809273796,131.9374872314328
100.09765625,-92.71248823273615,162.1303433914098
102.5390625,-92.92644986923007,163.2666451185455
104.98046875,-98.78045994243794,136.4286250825608
107.421875,-100.350007363697,168.4388640448131
109.86328125,-92.45256027315919,165.1028303870097
112.3046875,-91.77045939740752,12.43850608780871
114.74609375,-94.88015939292006,39.13692923998126
117.1875,-108.078126457212,123.1490065809503
119.62890625,-107.9613914644518,30.10762553111768
122.0703125,-98.19404189507451,4.417571779475805
124.51171875,-95.35724813180708,11.40493009926247
126.953125,-107.0822692661219,11.56312609519615
129.39453125,-106.4879293392916,38.24277108106486
131.8359375,-98.30581238717065,22.03925384317504
134.27734375,-91.95051562016828,11.93826608054934
136.71875,-91.38558891421779,21.94880318242835
139.16015625,-94.48240647251592,72.71633537623062
141.6015625,-93.20154286085801,129.5630153996902
144.04296875,-94.49468274909562,160.9703446061909
146.484375,-105.8306095311698,168.2965813064208
148.92578125,-99.15308460284803,20.00809424824636
151.3671875,-99.67857939638257,15.19878835051753
153.80859375,-114.8668177109309,162.3991318616554
156.25,-102.8213255857516,115.077048536398
158.69140625,-95.76341108266006,61.56366596089282
161.1328125,-93.40394141337265,50.85770552724102
163.57421875,-93.43971928576048,57.92454111946024
166.015625,-94.32905252022728,66.34928032010318
168.45703125,-100.3419210675938,111.4764580660594
170.8984375,-93.20194092427811,175.4832697725496
173.33984375,-90.54443539833592,169.9047145039783
175.78125,-93.3484464825797,152.8256023712703
178.22265625,-100.734024441155,128.5197825126384
180.6640625,-107.2793893814996,125.8873950334088
183.10546875,-94.42319603358908,109.5318990072686
185.546875,-90.60080364394709,101.3674520519105
187.98828125,-89.56884250579111,99.04566452989155
190.4296875,-91.27133084853156,101.680999623564
192.87109375,-95.57295915609072,102.2037554573633
195.3125,-98.48789395255568,97.79076738646071
197.75390625,-99.48563764530867,85.55208082623318
200.1953125,-100.83424939957,87.44325590079599
202.63671875,-96.16951190049605,127.009068086481
205.078125,-91.29240967824407,148.3699645009752
207.51953125,-90.59070308459854,1.793907018614177
209.9609375,-88.78308341349029,46.64213455986469
212.40234375,-87.39084320265049,66.7102797280248
214.84375,-89.36517561305507,75.9580781475405
217.28515625,-95.50784871714291,107.23762711343
219.7265625,-95.79063259301293,170.2601732868475
222.16796875,-96.20572745783639,163.1899725285825
224.609375,-104.4773239701753,114.4038674294089
