#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 16:16:56.254.917.170
#Sample rate: 344828Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.03483845879732533,-0.04114145889928857
-0.03483555879732533,-0.04122095155875786
-0.03483265879732533,-0.04209537081290632
-0.03482975879732533,-0.04416217995906738
-0.03482685879732533,-0.04463913591587302
-0.03482395879732533,-0.04432116527800511
-0.03482105879732533,-0.04591101846736113
-0.03481815879732533,-0.0470239156999085
-0.03481525879732533,-0.04678543772151234
-0.03481235879732533,-0.04869326154873743
-0.03480945879732533,-0.04972666612181479
-0.03480655879732533,-0.04948818814341906
-0.03480365879732533,-0.05139601197064531
-0.03480075879732533,-0.05274738718159432
-0.03479785879732533,-0.05290637250053436
-0.03479495879732533,-0.05425774771148743
-0.03479205879732533,-0.05552963026296862
-0.03478915879732533,-0.0556091229224405
-0.03478625879732533,-0.05680151281446078
-0.03478335879732533,-0.05870933664168124
-0.03478045879732533,-0.05847085866328551
-0.03477755879732533,-0.06037868249051089
-0.03477465879732533,-0.06149157972305638
-0.03477175879732533,-0.06141208706359433
-0.03476885879732533,-0.06292244759348251
-0.03476595879732533,-0.0641943301449631
-0.03476305879732533,-0.06411483748549932
-0.03476015879732533,-0.06514824205858361
-0.03475725879732534,-0.06681758790739924
-0.03475435879732534,-0.06649961726953148
-0.03475145879732534,-0.06753302184261099
-0.03474855879732534,-0.06808947045888677
-0.03474565879732534,-0.06824845577782318
-0.03474275879732534,-0.07015627960504828
-0.03473985879732534,-0.07317700066482435
-0.03473695879732534,-0.07309750800536201
-0.03473405879732534,-0.07309750800536201
-0.03473115879732534,-0.0745283758757832
-0.03472825879732534,-0.07619772172460795
-0.03472535879732534,-0.0761182290651401
-0.03472245879732534,-0.07723112629768993
-0.03471955879732534,-0.07945692076278958
-0.03471665879732534,-0.0792979354438539
-0.03471375879732534,-0.08025184735746803
-0.03471085879732534,-0.08279561246043905
-0.03470795879732534,-0.08287510511990691
-0.03470505879732534,-0.08335206107671397
-0.03470215879732534,-0.08533937756341009
-0.03469925879732534,-0.08525988490394225
-0.03469635879732534,-0.085895826179685
-0.03469345879732534,-0.08772415734744543
-0.03469055879732534,-0.08796263532584897
-0.03468765879732534,-0.08899603989893094
-0.03468475879732534,-0.09034741510988431
-0.03468185879732534,-0.09050640042881999
-0.03467895879732534,-0.09153980500190198
-0.03467605879732534,-0.09305016553179103
-0.03467315879732534,-0.0935271214885981
-0.03467025879732534,-0.09464001872114793
-0.03466735879732534,-0.0963888572294405
-0.03466445879732534,-0.09646834988890834
-0.03466155879732534,-0.09726327648358679
-0.03465865879732534,-0.09901211499187938
-0.03465575879732534,-0.09964805626762215
-0.03465285879732534,-0.1000455195649614
-0.03464995879732534,-0.1017148654137861
-0.03464705879732534,-0.1023508066895289
-0.03464415879732534,-0.1023508066895289
-0.03464125879732534,-0.1042586305167571
-0.03463835879732534,-0.1050535571114356
-0.03463545879732534,-0.1052125424303713
-0.03463255879732534,-0.1066434103007925
-0.03462965879732534,-0.1083922488090851
-0.03462675879732534,-0.1083127561496172
-0.03462385879732534,-0.1078358001928101
-0.03462095879732534,-0.1095846387011027
-0.03461805879732534,-0.1108565212525882
-0.03461515879732534,-0.1126053597608832
-0.03461225879732534,-0.1138772423123675
-0.03460935879732534,-0.1145131835881098
-0.03460645879732534,-0.1149106468854514
-0.03460355879732534,-0.1165799927342748
-0.03460065879732534,-0.1175339046478876
-0.03459775879732534,-0.1177723826262939
-0.03459485879732534,-0.1195212211345853
-0.03459195879732534,-0.1206341183671334
-0.03458905879732534,-0.1207931036860723
-0.03458615879732534,-0.1227009275132991
-0.03458325879732534,-0.1238138247458463
-0.03458035879732534,-0.1234958541079789
-0.03457745879732534,-0.1253241852757387
-0.03457455879732534,-0.1268345458056247
-0.03457165879732534,-0.1266755604866922
-0.03456875879732534,-0.1282654136760488
-0.03456585879732534,-0.129696281546468
-0.03456295879732534,-0.1300142521843414
-0.03456005879732534,-0.1314451200547626
-0.03455715879732534,-0.1328759879251815
-0.03455425879732534,-0.1330349732441194
-0.03455135879732533,-0.1343863484550737
-0.03454845879732533,-0.1362941722822985
-0.03454555879732533,-0.1362941722822995
-0.03454265879732533,-0.1368506208985781
-0.03453975879732533,-0.1393943860015445
-0.03453685879732533,-0.1393943860015455
-0.03453395879732533,-0.139950834617823
-0.03453105879732533,-0.1419381511045162
-0.03452815879732533,-0.1423356144018559
-0.03452525879732533,-0.1429715556776005
-0.03452235879732533,-0.1446409015264219
-0.03451945879732533,-0.1444819162074883
-0.03451655879732533,-0.1454358281211047
-0.03451365879732533,-0.1476616225861999
-0.03451075879732533,-0.1474231446077988
-0.03450785879732533,-0.1485360418403502
-0.03450495879732533,-0.150523358327043
-0.03450205879732533,-0.1506823436459771
-0.03449915879732533,-0.1499669097107718
-0.03449625879732533,-0.1521132115164017
-0.03449335879732533,-0.1532261087489567
-0.03449045879732533,-0.1552134252356496
-0.03448755879732533,-0.1563263224681997
-0.03448465879732533,-0.1575187123602134
-0.03448175879732533,-0.1575982050196852
-0.03447885879732533,-0.1587905949117058
-0.03447595879732533,-0.1607779113983941
-0.03447305879732533,-0.1606189260794605
-0.03447015879732533,-0.1610163893768075
-0.03446725879732533,-0.1635601544797693
-0.03446435879732533,-0.1635601544797725
-0.03446145879732533,-0.1644345737339234
-0.03445855879732533,-0.16658087553955
-0.03445565879732533,-0.1672963094747583
-0.03445275879732533,-0.1673758021342339
