#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 17:49:37.234.354.230
#Sample rate: 2.94118e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.009592894921439603,-0.04861376888926627
-0.009592554921439603,-0.04885224686766632
-0.009592214921439603,-0.04718290101884462
-0.009591874921439604,-0.04917021750554074
-0.009591534921439604,-0.04662645240257434
-0.009591194921439603,-0.04662645240256855
-0.009590854921439605,-0.04630848176469949
-0.009590514921439603,-0.04440065793747136
-0.009590174921439603,-0.04511609187268066
-0.009589834921439604,-0.04487761389427712
-0.009589494921439602,-0.04368522400225858
-0.009589154921439604,-0.04344674602385636
-0.009588814921439603,-0.04344674602385766
-0.009588474921439603,-0.04440065793747049
-0.009588134921439603,-0.0446391359158736
-0.009587794921439604,-0.042890297407581
-0.009587454921439604,-0.04503659921320891
-0.009587114921439602,-0.045354569851079
-0.009586774921439604,-0.04392370198066819
-0.009586434921439603,-0.04527507719161461
-0.009586094921439603,-0.04432116527800221
-0.009585754921439604,-0.04559304782948773
-0.009585414921439604,-0.04575203314842313
-0.009585074921439604,-0.04479812123481101
-0.009584734921439603,-0.04710340835937302
-0.009584394921439605,-0.04503659921322034
-0.009584054921439603,-0.04734188633778032
-0.009583714921439604,-0.04773934963511954
-0.009583374921439604,-0.04567254048895933
-0.009583034921439602,-0.04789833495405118
-0.009582694921439604,-0.04678543772150944
-0.009582354921439603,-0.0449571065537483
-0.009582014921439603,-0.0467854377215054
-0.009581674921439604,-0.04400319464013083
-0.009581334921439604,-0.04424167261853394
-0.009580994921439604,-0.04654695974309768
-0.009580654921439603,-0.0426518194291808
-0.009580314921439605,-0.04448015059693124
-0.009579974921439603,-0.04424167261853437
-0.009579634921439604,-0.04511609187268066
-0.009579294921439604,-0.04599051112682536
-0.009578954921439602,-0.04463913591587909
-0.009578614921439604,-0.0461494964457599
-0.009578274921439603,-0.04718290101884216
-0.009577934921439603,-0.04583152580789127
-0.009577594921439603,-0.04964717346234782
-0.009577254921439604,-0.04742137899725221
-0.009576914921439604,-0.04718290101884506
-0.009576574921439603,-0.04853427622979596
-0.009576234921439605,-0.0474213789972522
-0.009575894921439603,-0.04813681293245876
-0.009575554921439603,-0.04924971016500858
-0.009575214921439604,-0.04718290101884462
-0.009574874921439602,-0.04924971016500308
-0.009574534921439604,-0.04773934963512229
-0.009574194921439603,-0.04781884229458926
-0.009573854921439603,-0.04885224686766401
-0.009573514921439603,-0.04591101846735911
-0.009573174921439604,-0.04710340835937678
-0.009572834921439604,-0.04511609187268428
-0.009572494921439603,-0.04519558453214778
-0.009572154921439605,-0.04479812123481072
-0.009571814921439603,-0.04440065793747107
-0.009571474921439603,-0.04495710655374498
-0.009571134921439604,-0.04527507719161634
-0.009570794921439602,-0.04408268729959954
-0.009570454921439604,-0.04432116527800178
-0.009570114921439603,-0.04575203314842198
-0.009569774921439603,-0.04495710655374772
-0.009569434921439603,-0.04646746708363401
-0.009569094921439604,-0.04543406251055204
-0.009568754921439604,-0.04551355517001974
-0.009568414921439602,-0.04710340835937418
-0.009568074921439605,-0.04638797442416877
-0.009567734921439603,-0.04662645240257116
-0.009567394921439603,-0.04742137899724816
-0.009567054921439604,-0.04654695974310187
-0.009566714921439602,-0.04750087165670473
-0.009566374921439604,-0.0444006579374757
-0.009566034921439603,-0.04583152580789358
-0.009565694921439603,-0.04710340835937056
-0.009565354921439603,-0.04368522400225945
-0.009565014921439604,-0.04638797442416617
-0.009564674921439604,-0.04495710655374758
-0.009564334921439602,-0.04336725336439472
