#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 17:08:44.734
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-36.0095155397139,180
2.44140625,-37.79437867359694,25.31413980508302
4.8828125,-41.47490008422069,58.53775702170457
7.32421875,-47.27193836978856,90.41477542602013
9.765625,-57.00952747277284,168.268951864093
12.20703125,-52.7836144748203,68.97711763263274
14.6484375,-52.07247851746408,90.52586249338584
17.08984375,-57.30869830367829,107.2818123127098
19.53125,-65.95976032648886,42.54749724856725
21.97265625,-58.01940704382772,74.14028204501442
24.4140625,-54.81858725552519,40.44906311426357
26.85546875,-47.19771525717924,16.04227736303778
29.296875,-43.84247352584406,9.741074518355761
31.73828125,-46.76172355625808,8.992236125395609
34.1796875,-56.66314767615454,42.62762173326856
36.62109375,-57.48548141890264,114.8428988679161
39.0625,-57.50569124053219,163.6534152107063
41.50390625,-52.27957270858613,5.505783044322817
43.9453125,-49.93583316949981,173.3635396532787
46.38671875,-50.61402202878871,157.3816744104965
48.828125,-52.79992781700868,143.7691108203646
51.26953125,-55.21435373864342,121.2747375031625
53.7109375,-54.07876669901717,80.93515614998083
56.15234375,-52.37239866114709,73.65154873436454
58.59375,-52.93498616660709,103.0282082147211
61.03515625,-52.57001625526069,137.5985429655251
63.4765625,-55.1951552238744,172.2399335048043
65.91796875,-56.11874114425579,35.38870838945385
68.359375,-57.06520599510345,39.02334268642752
70.80078125,-61.1164075530263,26.36225351193363
73.2421875,-70.19526905256733,47.81211984824897
75.68359375,-68.76463215186956,171.1622614068309
78.125,-61.60029030472239,34.67528565236903
80.56640625,-58.86309341880754,30.24531497884647
83.0078125,-58.78976626834343,2.055310074925246
85.44921875,-60.25323562385501,153.3251121579623
87.890625,-59.32978935149705,140.1276471884696
90.33203125,-56.76409024955901,150.4963426443884
92.7734375,-57.13614643095684,148.3570278143348
95.21484375,-60.31403536312921,120.9269778141372
97.65625,-64.66514533169158,91.67646209753237
100.09765625,-79.92786842327763,2.902190687572088
102.5390625,-65.17154794344148,100.5437791619277
104.98046875,-63.84864693043652,103.5935116458421
107.421875,-72.06015170358691,175.0290860299957
109.86328125,-62.18274893790601,86.63296215342943
112.3046875,-59.01386908438384,105.6679017021015
