#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 12:13:23.137.528.960
#Sample rate: 352113Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01320254653746845,-0.6153964308949986
-0.01319970653746845,-0.6150784602571273
-0.01319686653746845,-0.6114217979216064
-0.01319402653746845,-0.6139655630245774
-0.01319118653746845,-0.6149194749381915
-0.01318834653746845,-0.6107858566458774
-0.01318550653746845,-0.6183376592953089
-0.01318266653746845,-0.6195300491873243
-0.01317982653746845,-0.6153169382355308
-0.01317698653746845,-0.6184966446142446
-0.01317414653746845,-0.6273203298151754
-0.01317130653746845,-0.6235046821607189
-0.01316846653746845,-0.6200070051441335
-0.01316562653746845,-0.6199275124846658
-0.01316278653746845,-0.6185761372737149
-0.01315994653746845,-0.619848019825198
-0.01315710653746845,-0.6222327996092333
-0.01315426653746845,-0.6193710638683909
-0.01315142653746845,-0.6202454831225371
-0.01314858653746845,-0.6226302629065729
-0.01314574653746845,-0.6227892482255082
-0.01314290653746845,-0.6208019317388157
-0.01314006653746845,-0.6233456968417831
-0.01313722653746845,-0.622868740884976
-0.01313438653746845,-0.6193710638683909
-0.01313154653746845,-0.6220738142902976
-0.01312870653746845,-0.6233456968417854
-0.01312586653746845,-0.6246175793932687
-0.01312302653746845,-0.6250945353500749
-0.01312018653746845,-0.6262869252420934
-0.01311734653746845,-0.6234251895012509
-0.01311450653746845,-0.6254125059879471
-0.01311166653746845,-0.6343951765078135
-0.01310882653746845,-0.6273203298151754
-0.01310598653746845,-0.6284332270477252
-0.01310314653746845,-0.630897499491224
-0.01310030653746845,-0.6281152564098538
-0.01309746653746845,-0.6339182205510064
-0.01309462653746845,-0.6312154701290997
-0.01309178653746845,-0.6303410508749534
-0.01308894653746845,-0.6291486609829358
-0.01308610653746845,-0.6339977132104743
-0.01308326653746845,-0.6235841748201851
-0.01308042653746845,-0.6227097555660404
-0.01307758653746845,-0.6246175793932652
-0.01307474653746845,-0.6248560573716722
-0.01307190653746845,-0.6215968583334905
-0.01306906653746845,-0.6187351225926481
-0.01306622653746845,-0.6157938941923379
-0.01306338653746845,-0.6113423052621428
-0.01306054653746845,-0.6136475923867061
-0.01305770653746845,-0.6149989675976569
-0.01305486653746845,-0.6107063639863958
-0.01305202653746845,-0.6173837473816948
-0.01304918653746845,-0.623902145458058
-0.01304634653746845,-0.6209609170577478
-0.01304350653746845,-0.6183376592953229
-0.01304066653746845,-0.6260484472636898
-0.01303782653746845,-0.6258894619447545
-0.01303498653746845,-0.6287511976855965
-0.01303214653746845,-0.6299435875776143
-0.01302930653746845,-0.6281152564098538
-0.01302646653746845,-0.6244585940743329
-0.01302362653746845,-0.6185761372737059
-0.01302078653746845,-0.6149989675976594
-0.01301794653746845,-0.6168272987654165
-0.01301510653746845,-0.6179401959979697
-0.01301226653746845,-0.6128526657920276
-0.01300942653746845,-0.6194505565278587
-0.01300658653746845,-0.6213583803550869
-0.01300374653746845,-0.6188941079115809
-0.01300090653746845,-0.6173042547222269
-0.01299806653746845,-0.6265254032204801
-0.01299522653746845,-0.627002359177304
-0.01299238653746845,-0.6253330133284792
-0.01298954653746845,-0.628512719707193
-0.01298670653746845,-0.6273203298151754
-0.01298386653746845,-0.6267638811989042
-0.01298102653746845,-0.6288306903450644
-0.01297818653746845,-0.6270023591773073
-0.01297534653746845,-0.6263664179015612
-0.01297250653746845,-0.6294666316208072
-0.01296966653746845,-0.6221533069497655
-0.01296682653746845,-0.6187351225926481
-0.01296398653746845,-0.6219148289713597
-0.01296114653746845,-0.6207224390793442
-0.01295830653746845,-0.6181786739763778
-0.01295546653746845,-0.6211993950361513
-0.01295262653746845,-0.6209609170577478
-0.01294978653746845,-0.6180196886574375
-0.01294694653746845,-0.619848019825198
-0.01294410653746845,-0.6208814243982765
-0.01294126653746845,-0.6189736005710517
-0.01293842653746845,-0.6295461242802558
-0.01293558653746845,-0.629546124280275
-0.01293274653746845,-0.6264459105610291
-0.01292990653746845,-0.6273998224746432
-0.01292706653746845,-0.6297846022586785
-0.01292422653746845,-0.627002359177304
-0.01292138653746845,-0.627479315134111
-0.01291854653746845,-0.6252535206690154
-0.01291570653746845,-0.6232662041823153
-0.01291286653746845,-0.6225507702471047
-0.01291002653746845,-0.6193710638683909
-0.01290718653746845,-0.6196095418467944
-0.01290434653746845,-0.6161913574896771
-0.01290150653746845,-0.6170657767438233
-0.01289866653746845,-0.6196890345062781
-0.01289582653746845,-0.6284332270477252
-0.01289298653746845,-0.6289896756640001
-0.01289014653746845,-0.6306590215128248
-0.01288730653746845,-0.629546124280275
-0.01288446653746845,-0.6273998224746432
-0.01288162653746845,-0.6260484472636898
-0.01287878653746845,-0.6245380867337937
-0.01287594653746845,-0.6207224390793442
-0.01287310653746845,-0.623186711522843
-0.01287026653746845,-0.6242201160959294
-0.01286742653746845,-0.6090370181375711
-0.01286458653746845,-0.6093549887754425
-0.01286174653746845,-0.6102294080295887
-0.01285890653746845,-0.6075266576076859
-0.01285606653746845,-0.6096729594133138
-0.01285322653746845,-0.616509328127536
