#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 12:16:05.804.779.640
#Sample rate: 2.5641e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.002636196066490936,-0.003620923630465718
-0.002635806066490936,-0.003541430970997873
-0.002635416066490935,-0.004097879587274811
-0.002635026066490936,-0.005210776819822612
-0.002634636066490936,-0.004813313522483389
-0.002634246066490935,-0.00656215203077496
-0.002633856066490936,-0.00600570341450106
-0.002633466066490936,-0.007516063944390109
-0.002633076066490935,-0.006244181392903582
-0.002632686066490936,-0.005687732776629681
-0.002632296066490936,-0.00870845383640778
-0.002631906066490935,-0.00624418139290951
-0.002631516066490936,-0.008946931814811314
-0.002631126066490936,-0.007277585965986575
-0.002630736066490935,-0.007993019901196887
-0.002630346066490936,-0.007834034582261487
-0.002629956066490936,-0.007754541922793643
-0.002629566066490935,-0.007436571284918939
-0.002629176066490936,-0.005608240117161836
-0.002628786066490936,-0.007675049263325798
-0.002628396066490935,-0.004654328203547699
-0.002628006066490936,-0.005369762138758302
-0.002627616066490936,-0.004256864906208475
-0.002627226066490935,-0.004415850225144165
-0.002626836066490936,-0.004654328203547699
-0.002626446066490936,-0.003382445652062184
-0.002626056066490935,-0.004177372246740631
-0.002625666066490936,-0.004177372246740631
-0.002625276066490936,-0.00600570341450106
-0.002624886066490935,-0.03613342135281421
-0.002624496066490936,-0.01610127116691734
-0.002624106066490936,-0.01546532989117458
-0.002623716066490935,-0.01657822712372441
-0.002623326066490936,-0.01785010967520992
-0.002622936066490936,-0.01610127116691734
-0.002622546066490935,-0.0181680803130813
-0.002622156066490936,-0.01785010967520992
-0.002621766066490936,-0.01626025648585303
-0.002621376066490936,-0.01721416839946717
-0.002620986066490936,-0.01586279318851381
-0.002620596066490936,-0.01753213903733854
-0.002620206066490936,-0.01506786659383536
-0.002619816066490936,-0.01562431521011027
-0.002619426066490936,-0.01308055010713924
-0.002619036066490936,-0.01204714553405726
-0.002618646066490936,-0.01331902808554277
-0.002618256066490936,-0.01252410149086433
-0.002617866066490936,-0.01355750606394631
-0.002617476066490936,-0.01252410149086433
-0.002617086066490936,-0.01403446202075338
-0.002616696066490936,-0.01308055010713924
-0.002616306066490936,-0.01467040329649613
-0.002615916066490936,-0.01633974914532087
-0.002615526066490936,-0.01530634457223889
-0.002615136066490936,-0.01697569042106363
-0.002614746066490936,-0.0167372124426601
-0.002614356066490936,-0.01753213903733854
-0.002613966066490936,-0.01824757297254915
-0.002613576066490936,-0.01769112435627423
-0.002613186066490936,-0.01943996286456682
-0.002612796066490936,-0.01713467574000352
-0.002612406066490936,-0.01800909499414561
-0.002612016066490936,-0.01864503626988837
-0.002611626066490936,-0.01633974914532507
-0.002611236066490936,-0.01681670510212794
-0.002610846066490936,-0.0151473592533032
-0.002610456066490936,-0.0151473592533032
-0.002610066066490936,-0.01387547670181769
-0.002609676066490936,-0.01538583723170674
-0.002609286066490936,-0.01379598404235273
-0.002608896066490936,-0.01490888127489967
-0.002608506066490936,-0.01467040329649613
-0.002608116066490936,-0.01331902808554523
-0.002607726066490936,-0.01689619776159578
-0.002607336066490936,-0.01498837393436751
-0.002606946066490936,-0.01769112435626932
-0.002606556066490936,-0.0167372124426601
-0.002606166066490936,-0.01610127116691734
-0.002605776066490936,-0.01689619776159434
-0.002605386066490936,-0.0167372124426601
-0.002604996066490936,-0.01808858765361345
-0.002604606066490936,-0.01673721244266255
-0.002604216066490936,-0.01864503626988837
-0.002603826066490936,-0.01737315371840285
-0.002603436066490935,-0.01721416839946558
-0.002603046066490936,-0.01633974914532087
-0.002602656066490936,-0.01761163169680639
-0.002602266066490935,-0.01769112435627163
-0.002601876066490936,-0.01626025648585303
-0.002601486066490936,-0.01681670510212794
-0.002601096066490935,-0.01459091063702872
-0.002600706066490936,-0.01482938861543182
-0.002600316066490936,-0.01316004276660708
-0.002599926066490935,-0.01323953542607681
-0.002599536066490936,-0.01427293999915691
-0.002599146066490936,-0.0114112042583145
-0.002598756066490935,-0.01355750606394804
-0.002598366066490936,-0.01451141797756044
-0.002597976066490936,-0.01387547670181769
-0.002597586066490935,-0.01514735925330291
-0.002597196066490936,-0.01498837393436751
-0.002596806066490936,-0.01610127116691734
-0.002596416066490935,-0.01554482255064445
-0.002596026066490936,-0.01665771978319225
-0.002595636066490936,-0.01785010967520992
-0.002595246066490935,-0.01641924180479103
-0.002594856066490936,-0.01769112435627423
-0.002594466066490936,-0.01769112435627423
-0.002594076066490935,-0.01951945552402946
-0.002593686066490936,-0.01665771978319225
-0.002593296066490936,-0.01824757297254915
-0.002592906066490935,-0.01657822712372441
-0.002592516066490936,-0.01538583723170674
-0.002592126066490936,-0.01482938861543182
-0.002591736066490935,-0.01252410149086433
-0.002591346066490936,-0.01347801340447846
-0.002590956066490936,-0.01172917489618588
-0.002590566066490935,-0.01236511617192864
-0.002590176066490936,-0.01204714553405726
-0.002589786066490936,-0.01204714553405726
-0.002589396066490935,-0.01331902808554277
-0.002589006066490936,-0.0121266381935251
-0.002588616066490936,-0.013716491382882
-0.002588226066490935,-0.01236511617192864
-0.002587836066490936,-0.01474989595596398
-0.002587446066490936,-0.01411395468022122
-0.002587056066490935,-0.01498837393436751
-0.002586666066490936,-0.01570380786957811
-0.002586276066490936,-0.01633974914532087
-0.002585886066490936,-0.01626025648585303
-0.002585496066490936,-0.01626025648585303
-0.002585106066490936,-0.0167372124426601
-0.002584716066490936,-0.01562431521011027
-0.002584326066490936,-0.01546532989117458
-0.002583936066490936,-0.01594228584798165
-0.002583546066490936,-0.0144319253180926
-0.002583156066490936,-0.01467040329649613
-0.002582766066490936,-0.01180866755565372
-0.002582376066490936,-0.01260359415033217
-0.002581986066490936,-0.008867439155343469
-0.002581596066490936,0.0442336573691768
-0.002581206066490936,-0.01840655829148484
-0.002580816066490936,-0.01737315371840285
-0.002580426066490936,-0.01729366105893501
-0.002580036066490936,-0.01697569042106363
-0.002579646066490936,-0.01808858765361345
-0.002579256066490936,-0.01872452892935621
-0.002578866066490936,-0.01832706563201699
-0.002578476066490936,-0.01928097754563113
-0.002578086066490936,-0.01920148488616328
-0.002577696066490936,-0.01991691882137388
-0.002577306066490936,-0.01943996286456768
-0.002576916066490936,-0.01991691882137388
-0.002576526066490936,-0.02039387477818095
-0.002576136066490936,-0.01920148488616545
-0.002575746066490936,-0.02198372796753785
-0.002575356066490936,-0.01999641148084173
-0.002574966066490936,-0.02079133807551873
-0.002574576066490936,-0.01951945552403466
-0.002574186066490936,-0.02031438211871311
-0.002573796066490936,-0.01967844084297151
-0.002573406066490936,-0.0167372124426601
-0.002573016066490936,-0.01800909499414561
-0.002572626066490936,-0.01530634457224381
-0.002572236066490936,-0.01761163169680639
-0.002571846066490936,-0.01602177850744949
-0.002571456066490936,-0.01538583723170789
-0.002571066066490936,-0.01737315371840285
-0.002570676066490936,-0.01522685191277105
-0.002570286066490936,-0.01792960233467285
-0.002569896066490936,-0.01785010967520992
-0.002569506066490936,-0.01920148488616328
-0.002569116066490936,-0.01816808031308318
-0.002568726066490936,-0.01808858765361345
-0.002568336066490936,-0.01999641148084173
-0.002567946066490935,-0.01928097754563981
-0.002567556066490936,-0.02405053711370181
-0.002567166066490936,-0.04336725336438807
-0.002566776066490935,-0.02524292700571746
-0.002566386066490936,-0.02413002977316965
-0.002565996066490936,-0.02428901509210534
-0.002565606066490935,-0.02444800041103915
-0.002565216066490936,-0.02341459583795905
-0.002564826066490936,-0.02381205913529828
-0.002564436066490935,-0.021109308713393
-0.002564046066490936,-0.02190423530807
-0.002563656066490936,-0.02039387477818095
-0.002563266066490935,-0.0205528600971178
-0.002562876066490936,-0.0211888013728594
-0.002562486066490936,-0.02007590414030958
-0.002562096066490935,-0.02190423530806986
-0.002561706066490936,-0.02182474264860216
-0.002561316066490936,-0.02246068392434492
-0.002560926066490935,-0.02349408849742488
-0.002560536066490936,-0.02238119126487707
-0.002560146066490936,-0.02587886828146224
-0.002559756066490935,-0.02428901509210838
-0.002559366066490936,-0.02595836094093008
-0.002558976066490936,-0.02571988296252655
-0.002558586066490935,-0.02611734625986432
-0.002558196066490936,-0.02532241966518732
-0.002557806066490936,-0.02476597104891241
-0.002557416066490935,-0.02532241966518732
-0.002557026066490936,-0.02428901509210534
-0.002556636066490936,-0.02532241966518732
-0.002556246066490935,-0.0234940884974269
-0.002555856066490936,-0.02309662520008767
-0.002555466066490936,-0.02301713254061983
-0.002555076066490935,-0.02198372796753785
-0.002554686066490936,-0.02277865456221629
-0.002554296066490936,-0.01928097754563113
-0.002553906066490935,-0.02238119126487707
-0.002553516066490936,-0.02198372796753785
-0.002553126066490936,-0.02373256647583043
-0.002552736066490935,-0.02444800041104103
-0.002552346066490936,-0.02389155179476612
-0.002551956066490936,-0.02548140498412301
-0.002551566066490935,-0.02524292700571948
-0.002551176066490936,-0.02699176551401206
-0.002550786066490936,-0.02802517008709405
-0.002550396066490936,-0.02738922881135129
-0.002550006066490936,-0.02738922881135129
-0.002549616066490936,-0.02643531689773715
-0.002549226066490936,-0.02770719944922267
-0.002548836066490936,-0.02667379487614068
-0.002548446066490936,-0.02834314072496542
-0.002548056066490936,-0.02587886828146224
-0.002547666066490936,-0.02571988296252655
-0.002547276066490936,-0.02516343434625164
-0.002546886066490936,-0.02317611785955552
-0.002546496066490936,-0.02405053711370181
-0.002546106066490936,-0.02198372796753785
-0.002545716066490936,-0.02325561051902336
-0.002545326066490936,-0.02166575732966647
-0.002544936066490936,-0.02206322062700569
-0.002544546066490936,-0.02222220594594138
-0.002544156066490936,-0.02269916190274845
-0.002543766066490936,-0.02373256647583043
-0.002543376066490936,-0.02166575732966647
-0.002542986066490936,-0.02460698572997672
-0.002542596066490936,-0.02317611785955552
-0.002542206066490936,-0.02540191232465517
-0.002541816066490936,-0.02532241966518747
-0.002541426066490936,-0.02476597104891241
-0.002541036066490936,-0.02540191232465517
-0.002540646066490936,-0.02516343434625207
-0.002540256066490936,-0.02627633157880146
-0.002539866066490936,-0.02444800041104103
-0.002539476066490936,-0.02564039030305654
-0.002539086066490936,-0.02436850775157319
-0.002538696066490936,-0.02556089764359086
-0.002538306066490936,-0.02484546370838156
-0.002537916066490936,-0.02341459583795905
-0.002537526066490936,-0.02389155179476612
-0.002537136066490936,-0.02198372796754132
-0.002536746066490936,-0.02309662520008767
-0.002536356066490936,-0.02095032339445587
-0.002535966066490936,-0.02087083073498817
-0.002535576066490936,-0.02198372796753785
-0.002535186066490936,-0.02023488945924526
-0.002534796066490936,-0.02246068392434087
-0.002534406066490936,-0.02301713254061983
-0.002534016066490936,-0.02571988296252655
-0.002533626066490936,-0.02770719944921905
-0.002533236066490936,-0.02889958934124034
-0.002532846066490936,-0.03048944253059723
-0.002532456066490935,-0.0298535012548604
-0.002532066066490936,-0.0331127002930361
-0.002531676066490936,-0.03160233976314705
-0.002531286066490935,-0.03207929571995341
-0.002530896066490936,-0.03168183242261491
-0.002530506066490936,-0.02937654529804741
-0.002530116066490935,-0.03168183242261043
-0.002529726066490936,-0.02921755997911172
-0.002529336066490936,-0.03295371497410042
-0.002528946066490935,-0.03160233976314445
-0.002528556066490936,-0.03017147189272585
-0.002528166066490936,-0.02913806731964387
-0.002527776066490935,-0.02675328753560665
-0.002527386066490936,-0.02571988296252655
-0.002526996066490936,-0.02079133807552018
-0.002526606066490935,-0.02118880137285535
-0.002526216066490936,-0.01896300690775975
-0.002525826066490936,-0.01920148488616328
-0.002525436066490935,-0.01840655829148469
-0.002525046066490936,-0.01832706563201699
-0.002524656066490936,-0.01967844084297035
-0.002524266066490935,-0.02158626467021569
-0.002523876066490936,-0.0309663984874043
-0.002523486066490936,-0.02707125817347991
-0.002523096066490935,-0.02897908200070616
-0.002522706066490936,-0.02786618476815836
-0.002522316066490936,-0.02937654529804741
-0.002521926066490935,-0.03064842784953292
-0.002521536066490936,-0.02969451593591878
-0.002521146066490936,-0.03136386178474353
-0.002520756066490935,-0.02953553061698309
-0.002520366066490936,-0.02985350125485448
-0.002519976066490936,-0.03072792050900077
-0.002519586066490935,-0.02889958934124034
-0.002519196066490936,-0.02889958934124034
-0.002518806066490936,-0.02603785360039793
-0.002518416066490935,-0.02858161870336896
-0.002518026066490936,-0.02564039030305871
-0.002517636066490936,-0.02643531689773715
-0.002517246066490935,-0.02524292700571948
-0.002516856066490936,-0.02524292700571948
-0.002516466066490936,-0.02564039030305871
-0.002516076066490935,-0.02619683891933362
-0.002515686066490936,-0.02786618476815836
-0.002515296066490936,-0.02627633157880146
-0.002514906066490935,-0.02882009668177249
-0.002514516066490936,-0.02643531689773715
-0.002514126066490936,-0.02842263338443327
-0.002513736066490936,-0.02858161870336896
-0.002513346066490936,-0.02937654529804741
-0.002512956066490936,-0.03088690582793645
-0.002512566066490936,-0.02913806731964387
-0.002512176066490936,-0.03207929571995413
-0.002511786066490936,-0.02977400859538663
-0.002511396066490936,-0.03017147189272585
-0.002511006066490936,-0.02961502327645094
-0.002510616066490936,-0.02882009668177249
-0.002510226066490936,-0.02842263338443327
-0.002509836066490936,-0.03223828103888982
-0.002509446066490936,-0.04702391569990894
-0.002509056066490936,-0.0279456774276262
-0.002508666066490936,-0.03040994987112939
-0.002508276066490936,-0.03017147189272585
-0.002507886066490936,-0.03088690582793645
-0.002507496066490936,-0.03199980306048628
-0.002507106066490936,-0.03001248657379016
-0.002506716066490936,-0.0325562516767612
-0.002506326066490936,-0.0318408177415519
-0.002505936066490936,-0.03279472965516472
-0.002505546066490936,-0.0332716856119718
-0.002505156066490936,-0.03358965624984259
-0.002504766066490936,-0.03502052412026438
-0.002504376066490936,-0.03430509018505377
-0.002503986066490936,-0.03613342135281088
-0.002503596066490936,-0.03374864156877887
-0.002503206066490936,-0.03573595805547498
-0.002502816066490936,-0.03525900209866879
-0.002502426066490936,-0.03478204614186085
-0.002502036066490936,-0.03454356816345731
-0.002501646066490936,-0.03263574433623251
-0.002501256066490936,-0.03382813422824671
-0.002500866066490936,-0.02993299391432232
-0.002500476066490936,-0.03192031040101482
-0.002500086066490936,-0.02953553061698309
-0.002499696066490936,-0.03056893519006508
-0.002499306066490936,-0.02969451593592037
-0.002498916066490936,-0.03112538380633999
-0.002498526066490936,-0.03152284710367921
-0.002498136066490936,-0.03001248657379291
-0.002497746066490936,-0.03287422231463258
-0.002497356066490936,-0.03120487646580783
-0.002496966066490935,-0.03390762688771238
-0.002496576066490936,-0.03271523699569688
-0.002496186066490936,-0.03351016359037533
-0.002495796066490935,-0.03358965624984317
-0.002495406066490936,-0.03358965624984317
-0.002495016066490936,-0.03589494337441067
-0.002494626066490935,-0.03271523699570107
-0.002494236066490936,-0.03502052412026438
-0.002493846066490936,-0.03351016359037533
-0.002493456066490935,-0.03557697273653511
-0.002493066066490936,-0.0332716856119718
-0.002492676066490936,-0.03343067093090749
-0.002492286066490935,-0.03351016359037142
-0.002491896066490936,-0.03136386178474353
-0.002491506066490936,-0.03271523699569688
-0.002491116066490935,-0.02961502327644993
-0.002490726066490936,-0.02905857466017603
-0.002490336066490936,-0.02993299391432232
-0.002489946066490935,-0.0296945159359211
-0.002489556066490936,-0.0309663984874043
-0.002489166066490936,-0.02945603795751525
-0.002488776066490935,-0.0311253838063384
-0.002488386066490936,-0.0302509645521937
-0.002487996066490936,-0.03263574433622904
-0.002487606066490935,-0.03358965624984186
-0.002487216066490936,-0.03287422231463258
-0.002486826066490936,-0.03398711954718239
-0.002486436066490935,-0.03303320763356826
-0.002486046066490936,-0.03430509018505377
-0.002485656066490936,-0.0325562516767612
-0.002485266066490935,-0.03438458284452163
-0.002484876066490936,-0.0332716856119718
-0.002484486066490936,-0.03374864156877887
-0.002484096066490935,-0.03430509018505377
-0.002483706066490936,-0.03199980306048628
-0.002483316066490936,-0.03295371497410042
-0.002482926066490935,-0.03056893519006508
