#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 18:39:08.430.323.660
#Sample rate: 3.0303e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.004345981235085047,0.07070471297196909
-0.004345651235085047,0.06744551393378499
-0.004345321235085047,0.06609413872283409
-0.004344991235085047,0.06307341766305599
-0.004344661235085047,0.06116559383582773
-0.004344331235085047,0.05893979937072229
-0.004344001235085047,0.05576009299201429
-0.004343671235085047,0.05417023980265739
-0.004343341235085047,0.05075205544554007
-0.004343011235085047,0.04757234906682194
-0.004342681235085047,0.04518756928279094
-0.004342351235085047,0.04153090694727007
-0.004342021235085048,0.03954359046057757
-0.004341691235085047,0.03596642078451545
-0.004341361235085047,0.03294569972474286
-0.004341031235085047,0.03143533919485381
-0.004340701235085048,0.0272222282430657
-0.004340371235085047,0.02499643377795838
-0.004340041235085047,0.02229368335605166
-0.004339711235085047,0.01879600633946649
-0.004339381235085048,0.01752412378798329
-0.004339051235085047,0.01386746145246012
-0.004338721235085047,0.01140318900895693
-0.004338391235085047,0.009018409224921592
-0.004338061235085048,0.005202761570471986
-0.004337731235085047,0.003135952424301083
-0.004337401235085047,0.0006716799807978968
-0.004337071235085047,-0.002269548419512358
-0.004336741235085047,-0.003779908949406757
-0.004336411235085047,-0.006721137349711662
-0.004336081235085047,-0.00870845383640778
-0.004335751235085047,-0.01029830702576467
-0.004335421235085047,-0.01395496936128842
-0.004335091235085047,-0.01554482255064243
-0.004334761235085047,-0.01800909499414561
-0.004334431235085047,-0.02174524998913431
-0.004334101235085047,-0.02357358115690052
-0.004333771235085047,-0.02675328753560853
-0.004333441235085047,-0.02921755997911172
-0.004333111235085048,-0.03192031040101352
-0.004332781235085047,-0.03478204614186418
-0.004332451235085047,-0.03661037730962127
-0.004332121235085047,-0.03883617177472093
-0.004331791235085048,-0.04193638549396123
-0.004331461235085047,-0.04424167261853437
-0.004331131235085047,-0.04710340835937678
-0.004330801235085047,-0.05012412941915488
-0.004330471235085048,-0.05234992388425047
-0.004330141235085047,-0.05449622568988634
-0.004329811235085047,-0.0565630348360503
-0.004329481235085047,-0.05966324855529624
-0.004329151235085048,-0.06292244759347196
-0.004328821235085047,-0.06395585216655986
-0.004328491235085047,-0.06665860258846658
-0.004328161235085047,-0.06928186035090546
-0.004327831235085047,-0.07111019151867023
-0.004327501235085047,-0.07349497130270123
-0.004327171235085047,-0.07460786853525106
-0.004326841235085047,-0.07580025842726873
-0.004326511235085047,-0.07651569236248033
-0.004326181235085047,-0.07707214097875424
-0.004325851235085047,-0.07770808225449699
-0.004325521235085047,-0.0779465602329001
-0.004325191235085047,-0.07770808225449886
-0.004324861235085047,-0.07874148682757898
-0.004324531235085047,-0.07858250150864329
-0.004324201235085048,-0.07802605289236939
-0.004323871235085047,-0.0786619941681094
-0.004323541235085047,-0.07770808225449699
-0.004323211235085047,-0.07762858959502915
-0.004322881235085048,-0.07786706757343226
-0.004322551235085047,-0.07667467768141502
-0.004322221235085047,-0.07810554555183621
-0.004321891235085047,-0.07739011161662562
-0.004321561235085048,-0.07754909693556102
-0.004321231235085047,-0.07810554555183621
-0.004320901235085047,-0.07675417034088286
-0.004320571235085047,-0.07707214097875424
-0.004320241235085047,-0.07874148682758679
-0.004319911235085047,-0.08303409043884259
-0.004319581235085047,-0.08955248851520586
-0.004319251235085047,-0.09138081968296628
-0.004318921235085047,-0.09297067287232579
-0.004318591235085047,-0.09440154074274439
-0.004318261235085047,-0.09440154074274439
-0.004317931235085047,-0.09487849669955145
-0.004317601235085047,-0.09440154074274323
-0.004317271235085047,-0.09376559946700162
-0.004316941235085047,-0.09495798935901931
-0.004316611235085047,-0.09281168755339139
-0.004316281235085047,-0.09352712148859853
-0.004315951235085047,-0.09376559946700162
-0.004315621235085047,-0.09265270223445181
-0.004315291235085048,-0.09384509212646731
-0.004314961235085047,-0.09249371691551582
-0.004314631235085047,-0.09233473159658043
-0.004314301235085047,-0.09328864351019456
-0.004313971235085048,-0.09153980500190516
-0.004313641235085047,-0.09161929766136982
-0.004313311235085047,-0.09153980500190198
-0.004312981235085047,-0.09130132702349844
-0.004312651235085048,-0.09193726829924005
-0.004312321235085047,-0.09026792245041647
-0.004311991235085047,-0.09050640042881999
-0.004311661235085047,-0.09106284904509492
-0.004311331235085047,-0.09002944447201452
-0.004311001235085047,-0.09090386372615922
-0.004310671235085047,-0.09010893713148077
-0.004310341235085047,-0.08979096649360939
-0.004310011235085047,-0.09066538574775265
-0.004309681235085047,-0.08899603989893094
-0.004309351235085047,-0.08875756192052742
-0.004309021235085047,-0.08851908394212388
-0.004308691235085047,-0.08692923075276829
-0.004308361235085047,-0.08764466468797759
-0.004308031235085047,-0.08629328947702422
-0.004307701235085048,-0.08637278213649194
-0.004307371235085047,-0.08629328947702147
-0.004307041235085047,-0.08478292894713518
-0.004306711235085047,-0.08541887022287793
-0.004306381235085048,-0.08605481149861954
-0.004306051235085047,-0.08732669405010621
-0.004305721235085047,-0.09805820307826524
-0.004305391235085047,-0.1069613809386638
-0.004305061235085048,-0.1137182569934184
-0.004304731235085047,-0.1187262945399049
-0.004304401235085047,-0.1209520890050045
-0.004304071235085047,-0.1239728100647826
-0.004303741235085048,-0.125721648573072
-0.004303411235085047,-0.1262780971893501
-0.004303081235085047,-0.1273115017624321
-0.004302751235085047,-0.1269935311245607
-0.004302421235085047,-0.1277089650597712
-0.004302091235085047,-0.1276294724003035
-0.004301761235085047,-0.1273909944218999
-0.004301431235085047,-0.1273909944218999
-0.004301101235085047,-0.1267550531461565
-0.004300771235085047,-0.126357589848818
-0.004300441235085047,-0.1262780971893501
-0.004300111235085047,-0.1250062146378646
-0.004299781235085047,-0.1249267219783973
-0.004299451235085047,-0.1252446926162681
-0.004299121235085047,-0.1237343320863791
-0.004298791235085048,-0.1231778834701052
-0.004298461235085047,-0.1233368687890383
-0.004298131235085047,-0.1224624495348936
-0.004297801235085047,-0.1226214348538293
-0.004297471235085048,-0.1220649862375554
-0.004297141235085047,-0.1214290449618116
-0.004296811235085047,-0.1218265082591508
-0.004296481235085047,-0.1213495523023437
-0.004296151235085048,-0.1204751330481991
-0.004295821235085047,-0.1206341183671331
-0.004295491235085047,-0.1195212211345833
-0.004295161235085047,-0.119680206453519
-0.004294831235085048,-0.1199186844319221
-0.004294501235085047,-0.1192827431561798
-0.004294171235085047,-0.1197596991129869
-0.004293841235085047,-0.1189647725183084
-0.004293511235085047,-0.1186468018804383
-0.004293181235085047,-0.1193622358156476
-0.004292851235085047,-0.1179313679452264
-0.004292521235085047,-0.1184878165615013
-0.004292191235085047,-0.1176133973073526
-0.004291861235085047,-0.1162620220964017
-0.004291531235085047,-0.1168184707126766
-0.004291201235085047,-0.1165005000748052
-0.004290871235085047,-0.1220649862375736
-0.004290541235085047,-0.1326375099467777
-0.004290211235085047,-0.1384404740879303
-0.004289881235085048,-0.1444024235480078
-0.004289551235085047,-0.1474231446077998
-0.004289221235085047,-0.1490924904566215
-0.004288891235085047,-0.1515567629001247
-0.004288561235085048,-0.1513977775811893
-0.004288231235085047,-0.1527491527921424
-0.004287901235085047,-0.1539415426841601
-0.004287571235085047,-0.1528286454516102
-0.004287241235085048,-0.1536235720462872
-0.004286911235085047,-0.1529876307705459
-0.004286581235085047,-0.1521132115163996
-0.004286251235085047,-0.1528286454516102
-0.004285921235085048,-0.15076183630545
-0.004285591235085047,-0.1521927041758675
-0.004285261235085047,-0.1510798069433177
-0.004284931235085047,-0.1504438656675749
-0.004284601235085047,-0.1517157482190565
-0.004284271235085047,-0.1495694464134286
-0.004283941235085047,-0.1499669097107678
-0.004283611235085047,-0.1497284317323643
-0.004283281235085047,-0.1478206079051372
-0.004282951235085047,-0.1484565491808788
-0.004282621235085047,-0.1469461886509897
-0.004282291235085047,-0.1464692326941827
-0.004281961235085047,-0.146946188650985
-0.004281631235085047,-0.1443229308885509
-0.004281301235085047,-0.1445614088669544
-0.004280971235085048,-0.1440844529101482
-0.004280641235085047,-0.1428125703586645
-0.004280311235085047,-0.1443229308885509
-0.004279981235085047,-0.1426535850397261
-0.004279651235085048,-0.1419381511045168
-0.004279321235085047,-0.1425740923802583
-0.004278991235085047,-0.1413022098287728
-0.004278661235085047,-0.1422561217423869
-0.004278331235085048,-0.1414611951477099
-0.004278001235085047,-0.1409842391909014
-0.004277671235085047,-0.1411432245098371
-0.004277341235085047,-0.1412227171693049
-0.004277011235085048,-0.1475821299267209
-0.004276681235085047,-0.1567237857655346
-0.004276351235085047,-0.1647525443717869
-0.004276021235085047,-0.1703965231940039
-0.004275691235085047,-0.1728607956375109
-0.004275361235085047,-0.1749276047836711
-0.004275031235085047,-0.1776303552055778
-0.004274701235085047,-0.1775508625461099
-0.004274371235085047,-0.1785047744597244
-0.004274041235085047,-0.1786637597786598
-0.004273711235085047,-0.1779483258434492
-0.004273381235085047,-0.1783457891407877
-0.004273051235085047,-0.1769149212703662
-0.004272721235085047,-0.1763584726540923
-0.004272391235085047,-0.1758020240378174
-0.004272061235085048,-0.1746891268052696
-0.004271731235085047,-0.1753250680810088
-0.004271401235085047,-0.1745301414863318
-0.004271071235085047,-0.1738942002105891
-0.004270741235085048,-0.1732582589348475
-0.004270411235085047,-0.1723043470212322
-0.004270081235085047,-0.1723838396807
-0.004269751235085047,-0.1724633323401679
-0.004269421235085048,-0.1713504351076201
-0.004269091235085047,-0.171350435107618
-0.004268761235085047,-0.1711119571292145
-0.004268431235085047,-0.1705555085129396
-0.004268101235085047,-0.1701580452155998
-0.004267771235085047,-0.169840074577729
-0.004267441235085047,-0.1689656553235827
-0.004267111235085047,-0.1697605819182612
-0.004266781235085047,-0.1688861626641142
-0.004266451235085047,-0.1684886993667757
-0.004266121235085047,-0.1684092067073078
-0.004265791235085047,-0.1679322507505007
-0.004265461235085047,-0.1674552947936922
-0.004265131235085047,-0.1666603681990152
-0.004264801235085047,-0.1659449342638046
-0.004264471235085047,-0.1653884856475307
-0.004264141235085047,-0.1644345737339147
-0.004263811235085047,-0.1639576177771085
-0.004263481235085047,-0.163719139798705
-0.004263151235085048,-0.1618908086309479
-0.004262821235085047,-0.1619703012904124
-0.004262491235085047,-0.1621292866093481
