#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 18:47:21.597.388.540
#Sample rate: 3.0303e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.004345663927392739,-0.1234163614485077
-0.004345333927392739,-0.1238138247458459
-0.004345003927392739,-0.123257376129572
-0.004344673927392739,-0.1211905669834081
-0.00434434392739274,-0.1219854935780865
-0.004344013927392739,-0.1203161477292609
-0.004343683927392739,-0.1198391917724547
-0.004343353927392739,-0.1198391917724547
-0.00434302392739274,-0.1183288312425656
-0.004342693927392739,-0.1185673092209682
-0.004342363927392739,-0.1180108606046943
-0.004342033927392739,-0.1177723826262907
-0.00434170392739274,-0.1177723826262907
-0.004341373927392739,-0.1178518752857671
-0.004341043927392739,-0.1225419421943614
-0.004340713927392739,-0.1323195393089063
-0.00434038392739274,-0.1384404740879192
-0.004340053927392739,-0.1417791657855798
-0.004339723927392739,-0.1435280042938724
-0.004339393927392739,-0.1451178574832293
-0.00433906392739274,-0.1463102473752448
-0.004338733927392739,-0.1459922767373756
-0.004338403927392739,-0.1463897400347148
-0.004338073927392739,-0.147343651948329
-0.00433774392739274,-0.1468666959915227
-0.004337413927392739,-0.1472641592888611
-0.004337083927392739,-0.1465487253536505
-0.004336753927392739,-0.1460717693968434
-0.004336423927392739,-0.1459127840779068
-0.004336093927392739,-0.1453563354616328
-0.004335763927392739,-0.1458332914184399
-0.00433543392739274,-0.1448793795048258
-0.004335103927392739,-0.1440844529101459
-0.004334773927392739,-0.1432895263154689
-0.004334443927392739,-0.143210033656001
-0.00433411392739274,-0.142733077699194
-0.004333783927392739,-0.1410637318503692
-0.004333453927392739,-0.1410637318503692
-0.004333123927392739,-0.1400303272772872
-0.00433279392739274,-0.1397123566394164
-0.004332463927392739,-0.1395533713204797
-0.004332133927392739,-0.1393148933420766
-0.004331803927392739,-0.1389174300447374
-0.00433147392739274,-0.1384404740879312
-0.004331143927392739,-0.1385199667473982
-0.004330813927392739,-0.1386789520663339
-0.004330483927392739,-0.1382019961095268
-0.00433015392739274,-0.1378045328121883
-0.004329823927392739,-0.1378840254716554
-0.004329493927392739,-0.1377250401527197
-0.004329163927392739,-0.1377250401527197
-0.00432883392739274,-0.1373275768553812
-0.004328503927392739,-0.1372480841959127
-0.004328173927392739,-0.137089098876977
-0.004327843927392739,-0.1363736649417664
-0.004327513927392739,-0.1370890988769758
-0.004327183927392739,-0.1364531576012342
-0.004326853927392739,-0.1389174300447374
-0.00432652392739274,-0.1450383648237615
-0.004326193927392739,-0.1512387922622619
-0.004325863927392739,-0.1559288591708562
-0.004325533927392739,-0.1586316095927629
-0.00432520392739274,-0.1603804481010523
-0.004324873927392739,-0.1620497939498808
-0.004324543927392739,-0.1623677645877516
-0.004324213927392739,-0.162685735225623
-0.00432388392739274,-0.1631626911824292
-0.004323553927392739,-0.1619703012904161
-0.004323223927392739,-0.1640371104365763
-0.004322893927392739,-0.1632421838418979
-0.00432256392739274,-0.163480661820301
-0.004322233927392739,-0.1645140663933834
-0.004321903927392739,-0.1641166030960442
-0.004321573927392739,-0.1647525443717869
-0.00432124392739274,-0.1643550810744484
-0.004320913927392739,-0.1633216765013658
-0.004320583927392739,-0.1637986324581728
-0.004320253927392739,-0.1618908086309445
-0.004319923927392739,-0.1611753746957328
-0.004319593927392739,-0.1605394334199912
-0.004319263927392739,-0.1590290728901021
-0.004318933927392739,-0.15910856554957
-0.004318603927392739,-0.1575982050196806
-0.004318273927392739,-0.1574392197007452
-0.004317943927392739,-0.1569622637439382
-0.00431761392739274,-0.1565648004465989
-0.004317283927392739,-0.1561673371492596
-0.004316953927392739,-0.1560878444897919
-0.004316623927392739,-0.1550544399167099
-0.00431629392739274,-0.1556108885329838
-0.004315963927392739,-0.1540210353436272
-0.004315633927392739,-0.1536235720462887
-0.004315303927392739,-0.1529081381110781
-0.00431497392739274,-0.1510003142838533
-0.004314643927392739,-0.1516362555595911
-0.004314313927392739,-0.1508413289649141
-0.004313983927392739,-0.1504438656675749
-0.00431365392739274,-0.1506028509865103
-0.004313323927392739,-0.1494899537539608
-0.004312993927392739,-0.1491719831160894
-0.004312663927392739,-0.1490129977971537
-0.00431233392739274,-0.1498079243918307
-0.004312003927392739,-0.154497991300435
-0.004311673927392739,-0.1615728379930731
-0.004311343927392739,-0.1676937727720972
-0.004311013927392739,-0.1721453617023004
