#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 19:52:21.549.493.970
#Sample rate: 208333Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.09149710909166307,-0.1013174021164469
-0.09149230909166307,-0.1001250122244292
-0.09148750909166307,-0.1016353727543183
-0.09148270909166308,-0.09996602690549351
-0.09147790909166308,-0.1009994314785755
-0.09147310909166308,-0.1009199388191077
-0.09146830909166308,-0.1006019681812369
-0.09146350909166308,-0.1002839975433655
-0.09145870909166308,-0.09710429116465689
-0.09145390909166308,-0.0983761737161343
-0.09144910909166307,-0.098376173716145
-0.09144430909166307,-0.1029867479652683
-0.09143950909166307,-0.101158416797517
-0.09143470909166307,-0.104338123176225
-0.09142990909166307,-0.09933008562975076
-0.09142510909166307,-0.09972754892708999
-0.09142030909166307,-0.09980704158655783
-0.09141550909166307,-0.1000455195649614
-0.09141070909166307,-0.1002045048838971
-0.09140590909166307,-0.09909160765134722
-0.09140110909166307,-0.09710429116465111
-0.09139630909166307,-0.09607088659156912
-0.09139150909166308,-0.09750175446199033
-0.09138670909166308,-0.0965478425483762
-0.09138190909166308,-0.09853515903507232
-0.09137710909166308,-0.09821718839720152
-0.09137230909166308,-0.09901211499187794
-0.09136750909166308,-0.09766073978092847
-0.09136270909166307,-0.09948907094868384
-0.09135790909166307,-0.0980582030782674
-0.09135310909166307,-0.09925059297028177
-0.09134830909166307,-0.0986146516945403
-0.09134350909166307,-0.098694144354008
-0.09133870909166307,-0.09877363701347584
-0.09133390909166307,-0.09917110031081507
-0.09132910909166307,-0.09940957828921861
-0.09132430909166307,-0.09972754892708999
-0.09131950909166307,-0.1006019681812363
-0.09131470909166307,-0.09877363701347584
-0.09130990909166307,-0.1019533433921896
-0.09130510909166308,-0.1004429828623006
-0.09130030909166308,-0.09885312967294368
-0.09129550909166308,-0.1000455195649614
-0.09129070909166308,-0.09917110031081666
-0.09128590909166308,-0.09925059297028278
-0.09128110909166308,-0.09869414435400901
-0.09127630909166308,-0.09821718839720181
-0.09127150909166307,-0.096150379251039
-0.09126670909166307,-0.09726327648358767
-0.09126190909166307,-0.09774023244039547
-0.09125710909166307,-0.09861465169454016
-0.09125230909166307,-0.09781972509986171
-0.09124750909166307,-0.1021123287111253
-0.09124270909166307,-0.09479900404008361
-0.09123790909166307,-0.09503748201848715
-0.09123310909166307,-0.09575291595369775
-0.09122830909166307,-0.09575291595369775
-0.09122350909166307,-0.09543494531582637
-0.09121870909166307,-0.09615037925103698
-0.09121390909166308,-0.09543494531582637
-0.09120910909166308,-0.09630936456997266
-0.09120430909166308,-0.09734276914305465
-0.09119950909166308,-0.09702479850518385
-0.09119470909166308,-0.09686581318624786
-0.09118990909166308,-0.09392458478594268
-0.09118510909166307,-0.09630936456996861
-0.09118030909166307,-0.09408357010487488
-0.09117550909166307,-0.09511697467795283
-0.09117070909166307,-0.09392458478593935
-0.09116590909166307,-0.09503748201848715
-0.09116110909166307,-0.09217574627764473
-0.09115630909166307,-0.09233473159658043
-0.09115150909166307,-0.09161929766136982
-0.09114670909166307,-0.09432204808327654
-0.09114190909166307,-0.09265270223445181
-0.09113710909166307,-0.09312965819125887
-0.09113230909166307,-0.08899603989893094
-0.09112750909166308,-0.08788314266638111
-0.09112270909166308,-0.08700872341223483
-0.09111790909166308,-0.08573684086074931
-0.09111310909166308,-0.08525988490394312
-0.09110830909166308,-0.08581633352021614
-0.09110350909166308,-0.08971147383413446
-0.09109870909166308,-0.08923451787733536
-0.09109390909166307,-0.0903474151098794
-0.09108910909166307,-0.08764466468798034
-0.09108430909166307,-0.08915502521786375
-0.09107950909166307,-0.08756517202850975
-0.09107470909166307,-0.09010893713148077
-0.09106990909166307,-0.08828060596372034
-0.09106510909166307,-0.08931401053680232
-0.09106030909166307,-0.08828060596372034
-0.09105550909166307,-0.08780365000691327
-0.09105070909166307,-0.08645227479595992
-0.09104590909166307,-0.08788314266638111
-0.09104110909166307,-0.08669075277436344
-0.09103630909166308,-0.08899603989893094
-0.09103150909166308,-0.08438546564979596
-0.09102670909166308,-0.08398800235245672
-0.09102190909166308,-0.08374952437405363
-0.09101710909166308,-0.08025184735747438
-0.09101230909166308,-0.08247764182256363
-0.09100750909166307,-0.08144423724948874
-0.09100270909166307,-0.0831135830983071
-0.09099790909166307,-0.08128525193055493
-0.09099310909166307,-0.08398800235245672
-0.09098830909166307,-0.08263662714150337
-0.09098350909166307,-0.08438546564979596
-0.09097870909166307,-0.08279561246043905
-0.09097390909166307,-0.08255713448203553
-0.09096910909166307,-0.0821596711846963
-0.09096430909166307,-0.08192119320629276
-0.09095950909166307,-0.07961590608172527
-0.09095470909166307,-0.08072880331427509
-0.09094990909166308,-0.08128525193055001
-0.09094510909166308,-0.08025184735746803
-0.09094030909166308,-0.08168271522788924
-0.09093550909166308,-0.08367003171458175
-0.09093070909166308,-0.08104677395215125
-0.09092590909166308,-0.07834402353024467
-0.09092110909166308,-0.07929793544385216
-0.09091630909166307,-0.07746960427609736
-0.09091150909166307,-0.07961590608172324
-0.09090670909166307,-0.07850300884917255
-0.09090190909166307,-0.07691315565981854
-0.09089710909166307,-0.07667467768141502
-0.09089230909166307,-0.07587975108673657
-0.09088750909166307,-0.07436939055684752
-0.09088270909166307,-0.07540279512992951
-0.09087790909166307,-0.07627721438407579
-0.09087310909166307,-0.07524380981099381
-0.09086830909166307,-0.07341547864323338
-0.09086350909166307,-0.07142816215653726
-0.09085870909166308,-0.07516431715152597
-0.09085390909166308,-0.07778757491396485
-0.09084910909166308,-0.08486242160660303
-0.09084430909166308,-0.07913895012492861
-0.09083950909166308,-0.0813647445900138
-0.09083470909166308,-0.07993387671959926
-0.09082990909166307,-0.083193075757779
-0.09082510909166307,-0.0835905390551188
-0.09082030909166307,-0.08430597299031697
-0.09081550909166307,-0.07818503821130407
-0.09081070909166307,-0.0791389501249182
-0.09080590909166307,-0.07540279512992951
-0.09080110909166307,-0.07206410343228002
-0.09079630909166307,-0.07492583917312243
-0.09079150909166307,-0.07492583917312243
-0.09078670909166307,-0.07651569236247932
-0.09078190909166307,-0.07548228778939735
-0.09077710909166307,-0.07754909693556131
-0.09077230909166308,-0.07587975108673657
-0.09076750909166308,-0.07691315565981854
-0.09076270909166308,-0.07428989789737968
-0.09075790909166308,-0.07484634651365357
-0.09075310909166308,-0.07413091257844528
-0.09074830909166308,-0.07540279512992719
-0.09074350909166308,-0.07285903002696309
-0.09073870909166307,-0.07421040523790778
-0.09073390909166307,-0.07198461077281261
-0.09072910909166307,-0.07222308875121614
-0.09072430909166307,-0.07246156672961925
-0.09071950909166307,-0.07389243460004045
-0.09071470909166307,-0.07301801534589415
-0.09070990909166307,-0.07317700066482985
-0.09070510909166307,-0.07198461077281218
-0.09070030909166307,-0.07079222088079451
-0.09069550909166307,-0.07103069885919804
-0.09069070909166307,-0.06912287503196977
-0.09068590909166308,-0.07182562545387648
-0.09068110909166308,-0.07365395662163692
-0.09067630909166308,-0.07222308875121571
-0.09067150909166308,-0.0693613530103733
-0.09066670909166308,-0.07111019151866271
-0.09066190909166308,-0.07015627960505348
-0.09065710909166308,-0.07111019151866416
-0.09065230909166307,-0.07039475758345774
-0.09064750909166307,-0.07174613279440632
-0.09064270909166307,-0.07047425024292356
-0.09063790909166307,-0.07071272822132667
-0.09063310909166307,-0.06538672003698107
-0.09062830909166307,-0.0672150512047415
-0.09062350909166307,-0.0672150512047415
-0.09061870909166307,-0.06959983098877684
-0.09061390909166307,-0.06920236769143762
-0.09060910909166307,-0.06888439705356623
-0.09060430909166307,-0.06761251450208072
-0.09059950909166307,-0.06753302184261287
-0.09059470909166308,-0.06848693375622701
-0.09058990909166308,-0.06673809524793442
-0.09058510909166308,-0.0663406319505952
-0.09058030909166308,-0.06514824205857969
-0.09057550909166308,-0.06403534482602974
-0.09057070909166308,-0.06403534482602771
-0.09056590909166308,-0.06618164663165561
-0.09056110909166307,-0.06824845577782478
-0.09055630909166307,-0.06896388971302989
-0.09055150909166307,-0.06665860258846383
-0.09054670909166307,-0.06514824205857753
-0.09054190909166307,-0.06514824205857753
-0.09053710909166307,-0.06800997779941995
-0.09053230909166307,-0.06125310174465314
-0.09052750909166307,-0.06093513110678175
-0.09052270909166307,-0.0594247705768927
-0.09051790909166307,-0.05815288802540719
-0.09051310909166307,-0.05799390270647151
-0.09050830909166308,-0.06069665312837823
-0.09050350909166308,-0.06014020451210331
-0.09049870909166308,-0.06180955036092806
-0.09049390909166308,-0.0617300577014602
-0.09048910909166308,-0.0624454916366695
-0.09048430909166308,-0.0617300577014615
-0.09047950909166308,-0.06308143291241111
-0.09047470909166307,-0.05950426323636489
-0.09046990909166307,-0.06188904302039431
-0.09046510909166307,-0.06101462376625164
-0.09046030909166307,-0.06212752099879942
-0.09045550909166307,-0.06101462376624961
-0.09045070909166307,-0.06228650631773512
-0.09044590909166307,-0.06061716046891039
-0.09044110909166307,-0.06212752099879942
-0.09043630909166307,-0.06427382280443124
-0.09043150909166307,-0.06347889620975279
-0.09042670909166307,-0.06228650631773512
-0.09042190909166307,-0.06165056504199236
-0.09041710909166308,-0.05815288802540719
-0.09041230909166308,-0.05799390270647151
-0.09040750909166308,-0.0595837558958284
-0.09040270909166308,-0.0583118733443452
-0.09039790909166308,-0.06061716046890619
-0.09039310909166308,-0.05831187334434708
-0.09038830909166308,-0.05902730727955217
-0.09038350909166307,-0.05831187334434462
-0.09037870909166307,-0.05926578525794603
-0.09037390909166307,-0.05322434313840357
-0.09036910909166307,-0.05473470366828988
-0.09036430909166307,-0.05242941654372238
-0.09035950909166307,-0.05258840186265806
-0.09035470909166307,-0.05290637250052944
-0.09034990909166307,-0.05417825505201496
-0.09034510909166307,-0.05338332845733651
-0.09034030909166307,-0.05481419632775772
-0.09033550909166307,-0.05378079175467573
-0.09033070909166308,-0.05330383579786867
-0.09032590909166308,-0.0542577477114828
-0.09032110909166308,-0.05521165962509694
-0.09031630909166308,-0.0549731816466934
-0.09031150909166308,-0.0561655715387089
-0.09030670909166308,-0.05521165962509868
-0.09030190909166308,-0.04948818814342253
-0.09029710909166307,-0.05211144590584998
-0.09029230909166307,-0.05155499728957839
-0.09028750909166307,-0.0528268798410603
-0.09028270909166307,-0.052111445905851
-0.09027790909166307,-0.05107804133276901
-0.09027310909166307,-0.0505215927164941
-0.09026830909166307,-0.05234992388425452
-0.09026350909166307,-0.04726239367831246
-0.09025870909166307,-0.04765985697565168
-0.09025390909166307,-0.04797782761352307
-0.09024910909166307,-0.0505215927164941
-0.09024430909166307,-0.04567254048895557
-0.09023950909166308,-0.04630848176469833
-0.09023470909166308,-0.04440065793747006
-0.09022990909166308,-0.04432116527800221
-0.09022510909166308,-0.04535456985108232
-0.09022030909166308,-0.04344674602385939
-0.09021550909166308,-0.04432116527800063
-0.09021070909166307,-0.04479812123480639
-0.09020590909166307,-0.04320826804545296
-0.09020110909166307,-0.04352623868332695
-0.09019630909166307,-0.04527507719161244
-0.09019150909166307,-0.04312877538598454
-0.09018670909166307,-0.0446391359158736
-0.09018190909166307,-0.04360573134279161
-0.09017710909166307,-0.04114145889928843
-0.09017230909166307,-0.04066450294248136
-0.09016750909166307,-0.04257232676970962
-0.09016270909166307,-0.03939262039099584
-0.09015790909166307,-0.04137993687769195
-0.09015310909166308,-0.04177740017503118
-0.09014830909166308,-0.04368522400225945
-0.09014350909166308,-0.04281080474811316
-0.09013870909166308,-0.04400319464013083
-0.09013390909166308,-0.03955160570993963
-0.09012910909166308,-0.03804124518004523
-0.09012430909166308,-0.03812073783951018
-0.09011950909166307,-0.03327168561197426
-0.09011470909166307,-0.03462306082292313
-0.09010990909166307,-0.03351016359037041
-0.09010510909166307,-0.03080741316846861
-0.09010030909166307,-0.02953553061698309
-0.09009550909166307,-0.03009197923325801
-0.09009070909166307,-0.02778669210869051
-0.09008590909166307,-0.02905857466017603
-0.09008110909166307,-0.02746872147081913
