#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 20:15:55.896.588.360
#Sample rate: 1.23457e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01027685843046794,-0.1003634902028585
-0.01027604843046794,-0.1145131835881091
-0.01027523843046794,-0.1319220760115671
-0.01027442843046794,-0.1373275768553805
-0.01027361843046794,-0.1395533713204802
-0.01027280843046794,-0.1402688052556908
-0.01027199843046794,-0.1400303272772872
-0.01027118843046794,-0.1395533713204802
-0.01027037843046794,-0.1389969227042053
-0.01026956843046794,-0.1384404740879313
-0.01026875843046794,-0.1385199667473982
-0.01026794843046794,-0.1370096062175091
-0.01026713843046794,-0.1354197530281522
-0.01026632843046794,-0.1336709145198579
-0.01026551843046794,-0.1327170026062455
-0.01026470843046794,-0.1319220760115671
-0.01026389843046794,-0.1312066420763565
-0.01026308843046794,-0.1305707008006137
-0.01026227843046794,-0.1334324365414509
-0.01026146843046794,-0.1535440793868209
-0.01026065843046794,-0.1664218902206117
-0.01025984843046794,-0.1707144938318753
-0.01025903843046794,-0.1721453617022969
-0.01025822843046794,-0.1723838396807
-0.01025741843046794,-0.170873479150811
-0.01025660843046794,-0.1688861626641149
-0.01025579843046794,-0.1671373241558223
-0.01025498843046794,-0.1665013828800795
-0.01025417843046794,-0.166262904901676
-0.01025336843046794,-0.165229500328594
-0.01025255843046794,-0.1644345737339156
-0.01025174843046794,-0.1628447205445616
-0.01025093843046794,-0.1624472572472195
-0.01025012843046794,-0.1615728379930731
-0.01024931843046794,-0.160618926079459
-0.01024850843046794,-0.1602214627821198
-0.01024769843046794,-0.1692836259614541
-0.01024688843046794,-0.1864540404065086
-0.01024607843046794,-0.1919390339097898
-0.01024526843046794,-0.1932109164612754
-0.01024445843046794,-0.193846857737017
-0.01024364843046794,-0.1936083797586146
-0.01024283843046794,-0.1928134531639361
-0.01024202843046794,-0.1917800485908542
-0.01024121843046794,-0.1912235999745798
-0.01024040843046794,-0.1915415706124506
-0.01023959843046794,-0.1900312100825616
-0.01023878843046794,-0.1889978055094796
-0.01023797843046794,-0.1873284596606548
-0.01023716843046794,-0.1850231725360874
-0.01023635843046794,-0.1831153487088591
-0.01023554843046794,-0.1819229588168414
-0.01023473843046794,-0.1804920909464202
-0.01023392843046794,-0.181604988178968
-0.01023311843046794,-0.2008422117701885
-0.01023230843046794,-0.2131635739877044
-0.01023149843046794,-0.2167407436637574
-0.01023068843046794,-0.2181716115341786
-0.01022987843046794,-0.2180126262152429
-0.01022906843046794,-0.2175356702584358
-0.01022825843046794,-0.2159458170690789
-0.01022744843046794,-0.2135610372850436
-0.01022663843046794,-0.2115737207983511
-0.01022582843046794,-0.2106198088847334
-0.01022501843046794,-0.2088709703764408
-0.01022420843046794,-0.2076785804844231
-0.01022339843046794,-0.2066451759113395
-0.01022258843046794,-0.2057707566571948
-0.01022177843046794,-0.2049758300625164
-0.01022096843046794,-0.2040219181489022
-0.01022015843046794,-0.2028295282568846
-0.01021934843046794,-0.2196024794045998
-0.01021853843046794,-0.2379652837416719
-0.01021772843046794,-0.2391576736336896
-0.01021691843046794,-0.2386012250174147
-0.01021610843046794,-0.2370908644875222
-0.01021529843046794,-0.2351830406602974
-0.01021448843046794,-0.2339111581088119
-0.01021367843046794,-0.2324007975789228
-0.01021286843046794,-0.2319238416221157
-0.01021205843046794,-0.2320828269410514
-0.01021124843046794,-0.2307314517300981
-0.01021043843046794,-0.2298570324759518
-0.01020962843046794,-0.2285851499244662
-0.01020881843046794,-0.2271542820540477
-0.01020800843046794,-0.2254849362052203
-0.01020719843046794,-0.2238155903563956
-0.01020638843046794,-0.2218282738696994
-0.01020557843046794,-0.2199999427019555
-0.01020476843046794,-0.2290621058812733
-0.01020395843046794,-0.244086218520696
-0.01020314843046794,-0.2495712120239773
-0.01020233843046794,-0.2524329477648197
-0.01020152843046794,-0.2542612789325801
-0.01020071843046794,-0.2538638156352409
-0.01019990843046794,-0.2528304110621589
-0.01019909843046794,-0.2506841092565271
-0.01019828843046794,-0.2494917193645093
-0.01019747843046794,-0.2494122267050416
-0.01019666843046794,-0.2473454175588776
-0.01019585843046794,-0.2440067258612281
-0.01019504843046794,-0.2401115855473037
-0.01019423843046794,-0.2370113718280578
-0.01019342843046794,-0.2362164452333793
-0.01019261843046794,-0.2350240553413617
-0.01019180843046794,-0.2346265920440224
-0.01019099843046794,-0.238203761720069
-0.01019018843046794,-0.2556126541435335
-0.01018937843046794,-0.2625285155172359
-0.01018856843046794,-0.2653107585986105
-0.01018775843046794,-0.2657082218959462
-0.01018694843046794,-0.2638003980687215
-0.01018613843046794,-0.2616540962630897
-0.01018532843046794,-0.25942830179799
-0.01018451843046794,-0.2580769265870366
-0.01018370843046794,-0.2570435220139546
-0.01018289843046794,-0.2560896101003405
-0.01018208843046794,-0.2549767128677907
-0.01018127843046794,-0.2535458449973695
-0.01018046843046794,-0.2526714257432206
