Input Frequency (Hz),Input Level (Vpeak),In or Out of DS-1,Diode Type,Tone Control,THD (dB),SNR (dB),2nd Harmonic (dB),3rd Harmonic (dB),4th Harmonic (dB),5th Harmonic (dB)
100,1,Out,Synthetic,,-17.97,35.32,-40.34,-18.10,-46.16,-37.73
100,1,Out,Real,,-14.97,45.68,-54.58,-15.16,-60.64,-28.77
100,2,Out,Synthetic,,-12.99,35.67,-52.22,-13.50,-47.58,-23.18
100,2,Out,Real,,-11.05,38.64,-68.31,-12.02,-62.13,-19.11
1000,1,Out,Synthetic,,-38.60,20.09,-43.85,-42.68,-48.36,-63.71
1000,1,Out,Real,,-15.02,46.17,-55.75,-15.21,-61.88,-28.91
1000,2,Out,Synthetic,,-43.84,25.01,-46.89,-52.49,-57.86,-53.30
1000,2,Out,Real,,-11.11,39.27,-71.29,-12.06,-64.73,-19.23
100,1,In,Synthetic,Low,-9.00,38.80,-9.72,-20.46,-21.38,-28.92
100,1,In,Real,Low,-10.33,32.04,-12.89,-17.24,-17.85,-35.75
100,2,In,Synthetic,Low,-8.49,36.41,-9.28,-20.91,-19.86,-27.07
100,2,In,Real,Low,-7.54,29.47,-9.34,-37.94,-12.91,-31.14
1000,1,In,Synthetic,Low,-12.05,20.20,-12.45,-22.95,-36.98,-45.38
1000,1,In,Real,Low,-7.46,36.78,-8.02,-17.60,-45.28,-27.66
1000,2,In,Synthetic,Low,-11.22,22.42,-11.73,-21.97,-31.27,-35.82
1000,2,In,Real,Low,-0.30,25.93,-0.79,-14.19,-15.50,-24.49
100,1,In,Synthetic,High,-9.00,38.80,-9.72,-20.46,-21.38,-28.92
100,1,In,Real,High,-10.33,32.04,-12.89,-17.24,-17.85,-35.75
100,2,In,Synthetic,High,-8.49,36.41,-9.28,-20.91,-19.86,-27.07
100,2,In,Real,High,-7.54,29.47,-9.34,-37.94,-12.91,-31.14
1000,1,In,Synthetic,High,-12.05,20.20,-12.45,-22.95,-36.98,-45.38
1000,1,In,Real,High,-7.46,36.78,-8.02,-17.60,-45.28,-27.66
1000,2,In,Synthetic,High,-11.22,22.42,-11.73,-21.97,-31.27,-35.82
1000,2,In,Real,High,-0.30,25.93,-0.79,-14.19,-15.50,-24.49
