#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 16:10:36.725.125.250
#Sample rate: 344828Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.03484042187424841,-0.1506028509865106
-0.03483752187424841,-0.1533850940678851
-0.03483462187424841,-0.1541800206625636
-0.03483172187424841,-0.1557698738519205
-0.03482882187424841,-0.1588700875711664
-0.03482592187424841,-0.1599034921442484
-0.03482302187424841,-0.1613343600146696
-0.03482012187424841,-0.1635601544797693
-0.03481722187424841,-0.16316269118243
-0.03481432187424841,-0.1657064562854011
-0.03481142187424841,-0.1707144938318753
-0.03480852187424841,-0.1707144938318753
-0.03480562187424841,-0.1715094204265538
-0.03480272187424841,-0.1743711561673962
-0.03479982187424841,-0.1761199946756887
-0.03479692187424841,-0.176994413929835
-0.03479402187424841,-0.1794586863733382
-0.03479112187424841,-0.1812075248816308
-0.03478822187424841,-0.1818434661573736
-0.03478532187424841,-0.1843872312603446
-0.03478242187424841,-0.1864540404065086
-0.03477952187424841,-0.1867720110443799
-0.03477662187424841,-0.188838820190548
-0.03477372187424841,-0.1910646146556447
-0.03477082187424841,-0.191700555931389
-0.03476792187424841,-0.1932109164612806
-0.03476502187424841,-0.1960726522021186
-0.03476212187424841,-0.1965496081589277
-0.03475922187424842,-0.1981394613482788
-0.03475632187424842,-0.2005242411323127
-0.03475342187424842,-0.2012396750675264
-0.03475052187424842,-0.2025115576190109
-0.03474762187424842,-0.2057707566571889
-0.03474472187424842,-0.2061682199545333
-0.03474182187424842,-0.2072811171870818
-0.03473892187424842,-0.2099043749495227
-0.03473602187424842,-0.2109377795226047
-0.03473312187424842,-0.211812198776751
-0.03473022187424842,-0.2146739345175934
-0.03472732187424842,-0.2153098757933362
-0.03472442187424842,-0.2160253097285468
-0.03472152187424841,-0.2181716115341786
-0.03471862187424841,-0.2191255234477927
-0.03471572187424841,-0.2199204500424712
-0.03471282187424841,-0.2225437078049101
-0.03470992187424841,-0.223100156421185
-0.03470702187424841,-0.2242130536537348
-0.03470412187424841,-0.2269952967351093
-0.03470122187424841,-0.2273927600324486
-0.03469832187424841,-0.2284261646055306
-0.03469542187424841,-0.2304134810922267
-0.03469252187424841,-0.2295390618380804
-0.03468962187424841,-0.2308904370490338
-0.03468672187424841,-0.2355010112981687
-0.03468382187424841,-0.2361369525739115
-0.03468092187424841,-0.2365344158712507
-0.03467802187424841,-0.2385217323579469
-0.03467512187424841,-0.2396346295904967
-0.03467222187424841,-0.2399526002283681
-0.03466932187424841,-0.2422578873529355
-0.03466642187424841,-0.2437682478828246
-0.03466352187424841,-0.2435297699044211
-0.03466062187424841,-0.2463120129857956
-0.03465772187424841,-0.2474249102183455
-0.03465482187424841,-0.2475838955372811
-0.03465192187424841,-0.2498096900023808
-0.03464902187424841,-0.2515585285106734
-0.03464612187424841,-0.2519559918080126
-0.03464322187424841,-0.2536253376568373
-0.03464032187424841,-0.2556126541435335
-0.03463742187424841,-0.2554536688245977
-0.03463452187424841,-0.2568050440355512
-0.03463162187424841,-0.2593488091385222
-0.03462872187424841,-0.2593488091385222
-0.03462582187424841,-0.2607796770089434
-0.03462292187424841,-0.2627669934956395
-0.03462002187424841,-0.2626875008361717
-0.03461712187424841,-0.2638798907281931
-0.03461422187424841,-0.2659466998743538
-0.03461132187424841,-0.2662646705122258
-0.03460842187424841,-0.266900611787971
-0.03460552187424841,-0.2688879282746642
-0.03460262187424841,-0.2692853915720037
-0.03459972187424841,-0.2697623475288143
-0.03459682187424842,-0.2722266199723085
-0.03459392187424842,-0.2723856052912484
-0.03459102187424842,-0.273101039226458
-0.03458812187424842,-0.2753268336915549
-0.03458522187424842,-0.2758832823078329
-0.03458232187424842,-0.2764397309241078
-0.03457942187424842,-0.2790629886865477
-0.03457652187424842,-0.279380959324419
-0.03457362187424842,-0.2796989299622904
-0.03457072187424842,-0.2811297978327116
-0.03456782187424842,-0.2808118271948402
-0.03456492187424842,-0.2812887831516473
-0.03456202187424842,-0.2846274748492968
-0.03455912187424841,-0.2866147913359929
-0.03455622187424841,-0.2862173280386537
-0.03455332187424841,-0.2866942839954608
-0.03455042187424841,-0.2887610931416247
-0.03454752187424841,-0.2893970344173675
-0.03454462187424841,-0.2889995711200282
-0.03454172187424841,-0.2909073949472565
-0.03453882187424841,-0.2924972481366134
-0.03453592187424841,-0.2922587701582099
-0.03453302187424841,-0.2935306527096954
-0.03453012187424841,-0.2959154324937308
-0.03452722187424841,-0.295756447174795
-0.03452432187424841,-0.2965513737694735
-0.03452142187424841,-0.2986976755751053
-0.03451852187424841,-0.2989361535535088
-0.03451562187424841,-0.2996515874887195
-0.03451272187424841,-0.3017978892943513
-0.03450982187424841,-0.3022748452511583
-0.03450692187424841,-0.3025133232295618
-0.03450402187424841,-0.304500639716258
-0.03450112187424841,-0.3050570883325329
-0.03449822187424841,-0.3050570883325329
-0.03449532187424841,-0.307044404819229
-0.03449242187424841,-0.3078393314139075
-0.03448952187424841,-0.3078393314139075
-0.03448662187424841,-0.3090317213059251
-0.03448372187424841,-0.3103830965168785
-0.03448082187424841,-0.3100651258790071
-0.03447792187424841,-0.3110985304520891
