#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 21:09:40.433.501.800
#Sample rate: 100000Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Average: 1
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.19972,0.0764281844536539
-0.19971,0.07276217004054877
-0.1997,0.06807561016104008
-0.19969,0.06365909152179051
-0.19968,0.05968796557748439
-0.19967,0.05633056972466599
-0.19966,0.0531508633459522
-0.19965,0.04997115696723841
-0.19964,0.04719242091495312
-0.19963,0.04451188167731435
-0.19962,0.04278291633388868
-0.19961,0.04045775604444665
-0.1996,0.0362656872672236
-0.19959,0.03493301621143897
-0.19958,0.03579223833950893
-0.19957,0.03543802840099942
-0.19956,0.03362489435931378
-0.19955,0.0315931555040952
-0.19954,0.02983496491821446
-0.19953,0.02868115234623131
-0.19952,0.02795636633343756
-0.19951,0.02760683243371864
-0.1995,0.0273110729801106
-0.19949,0.0274513541438771
-0.19948,0.02650913232724359
-0.19947,0.02582292363448561
-0.19946,0.02519633443632607
-0.19945,0.02476730787713931
-0.19944,0.02479302609049649
-0.19943,0.02472288550861316
-0.19942,0.02456390018967747
-0.19941,0.02440491487074177
-0.1994,0.02424592955180609
-0.19939,0.02420150718328035
-0.19938,0.02443063308409901
-0.19937,0.02520685552360852
-0.19936,0.02495785645792249
-0.19935,0.02492980022516915
-0.19934,0.02516827820357268
-0.19933,0.02500578585554314
-0.19932,0.02491694111849053
-0.19931,0.02503150406890007
-0.1993,0.0253050523382448
-0.19929,0.0253938970752976
-0.19928,0.02442011199680097
-0.19927,0.01585127091006246
-0.19926,-0.04174232988408687
-0.19925,-0.2742115984401597
-0.19924,-0.580313280846613
-0.19923,-0.6446567436373549
-0.19922,-0.6060618884560888
-0.19921,-0.5668801904062575
-0.1992,-0.5302258913236946
-0.19919,-0.4963924126426036
-0.19918,-0.4649495587939152
-0.19917,-0.4355957252756659
-0.19916,-0.4083659823788844
-0.19915,-0.3831106968620709
-0.19914,-0.3595913907468319
-0.19913,-0.3379132749061107
-0.19912,-0.3174556051901212
-0.19911,-0.2993266027926291
-0.1991,-0.2821690474542844
-0.19909,-0.266281036647998
-0.19908,-0.2519478087401528
-0.19907,-0.238494845134892
-0.19906,-0.2262506375574477
-0.19905,-0.2149790460488071
-0.19904,-0.2045596626100086
-0.19903,-0.1928380023674997
-0.19902,-0.140018637180309
-0.19901,0.0006786940389804166
-0.199,0.2418804650393754
-0.19899,0.4577006974747876
-0.19898,0.5064215146606971
-0.19897,0.4797189951377391
-0.19896,0.4464630072473781
-0.19895,0.415077434873956
-0.19894,0.3858603754904819
-0.19893,0.3585032105365096
-0.19892,0.3330094470412499
-0.19891,0.3095380703237132
-0.1989,0.2874461250498407
-0.19889,0.2666389214340972
-0.19888,0.2473549374549915
-0.19887,0.2301763399420506
-0.19886,0.213470022347155
-0.19885,0.1981863895547334
-0.19884,0.1841103437804345
-0.19883,0.1708514357851013
-0.19882,0.1585592988100127
-0.19881,0.1473005664080301
-0.1988,0.1370752385791481
-0.19879,0.1278833153233109
-0.19878,0.1189801374628967
-0.19877,0.1104206484537423
-0.19876,0.1026818042526079
-0.19875,0.09583959048987223
-0.19874,0.08992907745650908
-0.19873,0.08382684683265397
-0.19872,0.07806246001154764
-0.19871,0.07278438122481184
-0.1987,0.06784648426022101
-0.19869,0.06351296530953328
-0.19868,0.05955119144281178
-0.19867,0.05628614735613392
-0.19866,0.05303630039554266
-0.19865,0.04969760869789318
-0.19864,0.04698901322749178
-0.19863,0.04458202225919773
-0.19862,0.04294190165282437
-0.19861,0.04055945988818953
-0.1986,0.038178187133244
-0.19859,0.03635336299457773
-0.19858,0.03456945419534669
-0.19857,0.03308481187881163
-0.19856,0.03219168846949641
-0.19855,0.03124712863346674
-0.19854,0.03015644258517999
-0.19853,0.02915810830303786
-0.19852,0.02814691491422079
-0.19851,0.02745719919236742
-0.1985,0.02712987647691187
-0.19849,0.02729236882494141
-0.19848,0.02652199143392221
-0.19847,0.025959697769158
-0.19846,0.0254698827056713
-0.19845,0.02508527851501069
-0.19844,0.02493915230275388
-0.19843,0.02474509669287623
-0.19842,0.02473574461529171
-0.19841,0.02470067432435008
-0.1984,0.02456390018967747
-0.19839,0.02463404077156124
-0.19838,0.0248503075657013
-0.19837,0.02543247439533344
-0.19836,0.02517412325206346
-0.19835,0.02522555967877745
-0.19834,0.02531440441582976
-0.19833,0.02514255999021577
-0.19832,0.02536233381345007
-0.19831,0.02541610825956068
-0.1983,0.02545117855050237
-0.19829,0.02547338973476545
-0.19828,0.02455688613147372
-0.19827,0.01606753770420292
-0.19826,-0.0410456001040452
-0.19825,-0.2738527124628572
-0.19824,-0.5804407029037013
-0.19823,-0.644494251289325
-0.19822,-0.6057439178182177
-0.19821,-0.5664476568179766
-0.1982,-0.5303217501189352
-0.19819,-0.4966531018052699
-0.19818,-0.4650161923467044
-0.19817,-0.4358248511764849
-0.19816,-0.4085121085911415
-0.19815,-0.3829610636207196
-0.19814,-0.3595820386692475
-0.19813,-0.3380500490407833
-0.19812,-0.3176145905090569
-0.19811,-0.2994283066364243
-0.1981,-0.2821912586385475
-0.19809,-0.2662237551727932
-0.19808,-0.2519255975558897
-0.19807,-0.2386094080853016
