#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 12:40:51.821.167.260
#Sample rate: 1.49254e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01097676633333333,-0.471355731939264
-0.01097609633333333,-0.4718326878960702
-0.01097542633333333,-0.4715147172581997
-0.01097475633333333,-0.4714352245987319
-0.01097408633333333,-0.4715942099176675
-0.01097341633333333,-0.4711172539608599
-0.01097274633333333,-0.4707992833229891
-0.01097207633333333,-0.470878775982457
-0.01097140633333333,-0.4707197906635215
-0.01097073633333333,-0.4704813126851177
-0.01097006633333333,-0.4704813126851177
-0.01096939633333333,-0.4704813126851177
-0.01096872633333333,-0.4708787759824568
-0.01096805633333333,-0.4707992833229891
-0.01096738633333333,-0.4704813126851177
-0.01096671633333333,-0.4706402980040532
-0.01096604633333333,-0.4706402980040534
-0.01096537633333333,-0.4700043567283106
-0.01096470633333333,-0.4700043567283106
-0.01096403633333333,-0.4693684154525679
-0.01096336633333333,-0.4697658787499071
-0.01096269633333333,-0.4695274007715036
-0.01096202633333333,-0.4693684154525672
-0.01096135633333333,-0.4689709521552287
-0.01096068633333333,-0.4692094301336322
-0.01096001633333333,-0.4688119668362937
-0.01095934633333333,-0.4684939961984216
-0.01095867633333333,-0.4686529815173573
-0.01095800633333333,-0.4681760255605502
-0.01095733633333333,-0.4681760255605499
-0.01095666633333333,-0.4680170402416146
-0.01095599633333333,-0.4684145035389538
-0.01095532633333333,-0.4680170402416153
-0.01095465633333333,-0.4680170402416146
-0.01095398633333333,-0.4680170402416146
-0.01095331633333333,-0.4679375475821468
-0.01095264633333333,-0.4684939961984216
-0.01095197633333333,-0.4679375475821467
-0.01095130633333333,-0.4681760255605502
-0.01095063633333333,-0.4683350108794849
-0.01094996633333333,-0.467778562263211
-0.01094929633333333,-0.4681760255605502
-0.01094862633333333,-0.4675400842848086
-0.01094795633333333,-0.4676990696037431
-0.01094728633333333,-0.4673810989658718
-0.01094661633333333,-0.4669836356685326
-0.01094594633333333,-0.4668246503495964
-0.01094527633333333,-0.4665861723711933
-0.01094460633333333,-0.4663476943927898
-0.01094393633333333,-0.4661092164143867
-0.01094326633333333,-0.4661092164143862
-0.01094259633333333,-0.4654732751386435
-0.01094192633333333,-0.4653142898197078
-0.01094125633333333,-0.4653142898197075
-0.01094058633333333,-0.4651553045007721
-0.01093991633333333,-0.4653142898197078
-0.01093924633333333,-0.4653142898197072
-0.01093857633333333,-0.4649963191818364
-0.01093790633333333,-0.4650758118413043
-0.01093723633333333,-0.465155304500772
-0.01093656633333333,-0.4649168265223686
-0.01093589633333333,-0.4645193632250293
-0.01093522633333333,-0.4638834219492866
-0.01093455633333333,-0.464439870565561
-0.01093388633333333,-0.4641218999276902
-0.01093321633333333,-0.4637244366303509
-0.01093254633333333,-0.4637244366303509
-0.01093187633333333,-0.4637244366303509
-0.01093120633333333,-0.4639629146087544
