#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 22:03:48.482
#Trace: Trace 1
#Start: 0 Hz
#Stop: 20000 Hz
#BINs: 8193
#Rate: 40000 Hz
#Samples: 16384
#Channel: C1
#Type: Sample
#Window: Blackman-Harris
#Channel: C1
#Range: 5.20963 V
#Offset: 4.3754e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.22099 V
#Offset: 0.000263673 V
#Attenuation: 1 X
#Channel: F1
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Channel: F2
#Range: nan V
#Offset: nan V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBV),Phase (deg)
0,-86.1726431616698,180
2.44140625,-80.66414166778786,131.985909225534
4.8828125,-82.75862088739217,139.5563640456753
7.32421875,-96.93785908806383,166.7355200620071
9.765625,-97.64930717352728,169.1319318759409
12.20703125,-95.32207620037987,16.13597252737097
14.6484375,-98.60695056611087,12.4345866000052
17.08984375,-104.0754252320894,109.0028484312004
19.53125,-89.80101618277106,68.53371762278883
21.97265625,-84.79879268328426,75.52357837026005
24.4140625,-87.41700759460444,123.5533576846115
26.85546875,-80.5845831102925,23.19620105649769
29.296875,-76.33594723738244,43.64634330182611
31.73828125,-78.08658053422639,54.41127790509842
34.1796875,-87.87685117663216,61.23131721301517
36.62109375,-98.61118589469601,41.4202415812556
39.0625,-96.92320999799247,172.8554655040157
41.50390625,-95.32188673819881,134.7977916397522
43.9453125,-96.95972583360043,143.6934104747354
46.38671875,-77.80389312873456,160.0123624887249
48.828125,-71.22734096342357,168.3225081074724
51.26953125,-71.01388653683527,179.0843772881547
53.7109375,-74.88496345047591,21.90297831527407
56.15234375,-79.88215149187693,50.76017384796594
58.59375,-86.81202768048932,94.57617402395869
61.03515625,-87.91070586383562,159.1357535947656
63.4765625,-87.66630994439922,14.44392452009996
65.91796875,-85.85273009992351,8.172050889001087
68.359375,-83.446244868462,169.1634265718941
70.80078125,-84.06197858551805,174.8331304781355
73.2421875,-85.57066820198435,6.675190268473806
75.68359375,-85.84425406062135,168.6878948006892
78.125,-86.07964489101136,153.709996136409
80.56640625,-91.88967520304584,168.0899518475703
83.0078125,-91.58022938175547,56.14138685535072
85.44921875,-84.83666665430721,41.28697154645634
87.890625,-81.59862223589897,16.86708099842469
90.33203125,-82.75645636932985,168.4536789222564
92.7734375,-84.37318819888846,125.6047775732629
95.21484375,-83.74212182002233,112.2578663808334
97.65625,-84.47849585759425,124.9452068759966
100.09765625,-89.16679915833299,143.7660047229875
102.5390625,-94.03472734648366,70.58283135091506
104.98046875,-87.69951480094788,112.3183689622112
107.421875,-87.55942716205128,178.061820119986
109.86328125,-80.56158164566278,47.04347727939452
112.3046875,-79.95440868275413,64.94695829240037
114.74609375,-87.53693600950477,124.7904351150518
117.1875,-81.89397599337659,23.39150884194255
119.62890625,-82.02589404570388,30.92749664974287
122.0703125,-88.94436232219491,9.043723491629544
124.51171875,-94.30472146908288,117.9832714593944
126.953125,-100.0482731156185,60.03132033514843
129.39453125,-103.5529040122643,0.4323533520713
131.8359375,-88.25478017985823,161.3355979166967
134.27734375,-86.10979416399286,143.2748196845081
136.71875,-88.38683568065578,113.9523408660321
139.16015625,-88.01495496386659,103.4712339332818
141.6015625,-85.09829472859977,112.4791821349099
144.04296875,-85.09224269644163,110.5449894496253
146.484375,-92.70712910793705,87.39880655175722
148.92578125,-94.55312131945362,170.4604211076742
151.3671875,-94.92618529898826,22.18750689496549
153.80859375,-88.68355340006688,95.1106243114795
156.25,-83.55330872069933,121.9539393427705
158.69140625,-81.7973832095774,137.1211523725796
161.1328125,-81.78879046749479,138.8868434493019
163.57421875,-82.24130066308393,128.7850763496374
166.015625,-84.61224337271106,114.8191734206672
168.45703125,-90.19040823533432,74.34540290224678
170.8984375,-90.27321410750348,18.60239469698127
173.33984375,-90.7229653192077,2.748199842754485
175.78125,-92.27997732970678,29.85123627348745
178.22265625,-90.01399215026694,77.7486619364704
180.6640625,-88.66642813607294,119.5530815917734
183.10546875,-85.91004092916533,145.4574920943226
185.546875,-85.42570822411841,141.9597993876548
187.98828125,-86.48732095028338,126.9755753162572
190.4296875,-87.18584666722697,116.9397245411609
192.87109375,-92.84328751495752,107.119694070823
195.3125,-95.18558499154621,7.56355727985171
197.75390625,-90.50144535342304,4.706842351367853
200.1953125,-104.7727043753005,82.61491520080807
202.63671875,-86.28586795068829,5.925419506034308
205.078125,-82.35814190165209,17.80816577311013
207.51953125,-81.98772097388698,27.23108962990416
209.9609375,-84.32835359375463,41.33693899934667
212.40234375,-89.84880712181007,80.9654339240362
214.84375,-91.91198421052508,123.9342691624158
217.28515625,-95.38921369056594,74.09676374652588
219.7265625,-91.36008957281689,167.9960674307103
222.16796875,-87.74798984899783,99.51596110613109
224.609375,-86.07214948450988,58.31377270026879
227.05078125,-91.10478758048143,21.93019921151781
229.4921875,-94.66547942632309,113.89458921386
231.93359375,-88.1272311667424,67.78831871131011
234.375,-84.17170221473708,58.7370509119923
236.81640625,-85.64898201372989,60.98454929350289
239.2578125,-97.4669740278142,80.32625448583177
241.69921875,-91.29622951226051,60.42274264591395
244.140625,-86.24890098773911,73.81927304239673
246.58203125,-86.7225055903593,67.5696455503149
249.0234375,-86.33693320907325,49.20985785237905
251.46484375,-84.63356980949671,50.33314079596655
253.90625,-85.86285518249039,67.82551095143954
256.34765625,-87.1543509647052,108.0404295019871
258.7890625,-86.49016369937317,111.2413799540433
261.23046875,-86.20614487389136,75.6246115052892
263.671875,-88.17018312613364,34.47897056355733
266.11328125,-86.273010778848,141.7903495802536
268.5546875,-83.18798392721905,130.5081484980113
270.99609375,-85.74212045861529,151.4477164808929
273.4375,-87.42065658659789,31.00499179910266
275.87890625,-83.75060625810512,66.81285734883737
278.3203125,-82.71031620050891,75.70939591391196
280.76171875,-85.76902554559054,77.17620332427056
283.203125,-92.56307851276659,105.8109376798125
285.64453125,-89.30980620833238,153.0097785551478
288.0859375,-85.69698873989401,152.8140711970695
290.52734375,-85.99649612016877,148.2590989840654
292.96875,-90.89800233398196,136.1912048744675
295.41015625,-101.3475752138073,156.5520254701349
297.8515625,-89.88443013395934,36.88141703662556
300.29296875,-85.98121606222793,29.67782069136035
302.734375,-91.27023050269176,8.952028605659269
305.17578125,-97.04903634444362,82.73459933284563
307.6171875,-92.6860019740592,33.61364219679351
310.05859375,-89.9013990230209,4.995399927111736
312.5,-88.55914857148251,177.274186544623
314.94140625,-89.92698419630707,16.48233373053907
317.3828125,-90.57529191884605,81.55367223015546
319.82421875,-87.5035133894478,118.7972816837145
322.265625,-89.97341387901625,116.9979606041706
324.70703125,-90.24063039322462,95.89256194224093
327.1484375,-85.40355620209992,101.3317682617254
329.58984375,-84.20362183945022,120.545180712045
332.03125,-85.81495683214001,157.4676929879069
334.47265625,-91.61691362258794,25.41805371242941
336.9140625,-88.38291438554442,140.2768079616563
339.35546875,-85.09739152696295,168.0535651152579
341.796875,-86.21601341488132,22.60690318427957
344.23828125,-87.01880654040491,25.0362793625034
346.6796875,-87.07982830341287,169.8373418055704
349.12109375,-89.95287555260326,143.1055229688441
351.5625,-94.23335784048297,61.23072613024846
354.00390625,-90.48452158412979,59.67636779991168
356.4453125,-87.01216508149372,97.69466447547961
358.88671875,-84.0491307418267,101.7654750005835
361.328125,-82.49467685907629,98.66411007318072
363.76953125,-82.47182460801206,107.0134498756564
366.2109375,-83.57920684919735,123.56009066946
368.65234375,-85.00146554351814,132.5572721554799
371.09375,-89.69940009728747,145.109231788413
373.53515625,-94.82445018080884,41.76009867091297
375.9765625,-89.9434958944563,110.1055104654164
378.41796875,-85.91965787967281,142.2320567823066
380.859375,-85.25622283666851,158.4998235066159
383.30078125,-86.00064473174699,174.7986269166259
385.7421875,-85.18154049438505,14.83243421921335
388.18359375,-84.27567027740744,31.3562118383748
390.625,-87.96995471287528,50.23201018439509
393.06640625,-93.23950907604075,137.682420428123
395.5078125,-89.08820738009682,165.5992569443387
397.94921875,-89.59820052772999,138.5284825984104
400.390625,-87.39038218307363,119.8967908546389
402.83203125,-86.07244866757233,124.4366974081831
405.2734375,-87.30169225179409,121.8712437280554
407.71484375,-91.21546394463945,120.725801970313
410.15625,-100.9341218189078,18.531169765414
412.59765625,-88.38871264572833,104.4768256029761
415.0390625,-83.44354512389208,105.5732260925385
417.48046875,-83.22122717865648,92.41729616567147
419.921875,-85.99802931115696,85.03851828420908
422.36328125,-90.95064553824312,102.9463830439466
424.8046875,-93.30482318812895,132.1769679692389
427.24609375,-95.28733217998462,151.7448564273383
429.6875,-92.59452354898042,24.40602936381709
432.12890625,-86.68868713342545,55.73476430609779
434.5703125,-85.49590246448983,79.29537920078978
437.01171875,-85.07438232578707,111.4563152989486
439.453125,-83.6607871612663,126.5962122359228
441.89453125,-85.55067656651832,129.8932203013247
444.3359375,-90.82287031854348,135.4703144765709
446.77734375,-91.83850648293843,118.6043398465691
449.21875,-86.78879300228479,95.68097582012508
451.66015625,-83.13350703060487,80.54735198720006
454.1015625,-81.51145223445751,56.78210773972021
456.54296875,-83.14709126980047,22.35761782211634
458.984375,-85.43007647755844,132.0867606019764
461.42578125,-83.08936155400428,91.228464189113
463.8671875,-83.7628037397002,86.35965928133415
466.30859375,-85.48284916958141,93.6130484611101
468.75,-88.74106920020961,83.94093109864249
471.19140625,-88.79062308260059,33.9318346912842
473.6328125,-83.74371051342108,13.72018853180874
476.07421875,-80.61712746014415,5.512528644245277
478.515625,-79.14118349949011,173.850146992729
480.95703125,-78.78120648679985,160.2592892238456
483.3984375,-80.36909165450345,151.2435482939792
485.83984375,-85.17506235731281,141.5450713857515
488.28125,-92.3594341351469,89.54406843560756
490.72265625,-89.2047987813886,43.3957306978623
493.1640625,-92.12525814962999,70.4180393800608
495.60546875,-89.85312107072278,160.5087903508931
498.046875,-86.56954054445347,12.04034953293731
