#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 21:15:27.742.046.420
#Sample rate: 100000Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.19972,-0.07723112629768993
-0.19971,-0.07556178044886519
-0.1997,-0.07341547864323338
-0.19969,-0.07118968417813779
-0.19968,-0.06880490439409839
-0.19967,-0.06642012461006305
-0.19966,-0.06347889620975279
-0.19965,-0.06085563844731391
-0.19964,-0.05839136600380567
-0.19963,-0.05560912292243617
-0.19962,-0.05258840186265806
-0.19961,-0.04964717346234247
-0.1996,-0.04670594506203755
-0.19959,-0.04384420932119515
-0.19958,-0.04050551762355174
-0.19957,-0.03716682592589619
-0.19956,-0.03358965624984317
-0.19955,-0.03017147189273207
-0.19954,-0.02691227285454422
-0.19953,-0.02277865456221166
-0.19952,-0.02023488945924526
-0.19951,-0.01633974914532087
-0.1995,-0.01244460883139027
-0.19949,-0.009026424474279159
-0.19948,-0.005528747457693991
-0.19947,-0.001872085122179786
-0.19946,0.001625591894412033
-0.19945,0.005361746889400735
-0.19944,0.009256887203318041
-0.19943,0.01291354953884598
-0.19942,0.01641122655543115
-0.19941,0.02054484484775907
-0.1994,0.02404252186434424
-0.19939,0.0274607062214685
-0.19938,0.03127635387591811
-0.19937,0.03429707493569621
-0.19936,0.03739728865494867
-0.19935,0.04097445833099517
-0.19934,0.04431315002864465
-0.19933,0.04781082704522346
-0.19932,0.05154698204021851
-0.19931,0.05496516639733584
-0.1993,0.05790639479764074
-0.19929,0.06116559383582773
-0.19928,0.06569667542549906
-0.19927,0.06800196255006237
-0.19926,0.07181761020451892
-0.19925,0.07452036062643055
-0.19924,0.07722311104833235
-0.19923,0.08024383210811045
-0.19922,0.08342353848681845
-0.19921,0.08731867880074863
-0.1992,0.09049838517946242
-0.19919,0.09351910623923503
-0.19918,0.0961423640016794
-0.19917,0.09781170985050558
-0.19916,0.09860663644518258
-0.19915,0.09820917314784336
-0.19914,0.09630134932061017
-0.19913,0.09359859889870836
-0.19912,0.09018041454159105
-0.19911,0.08628527422765842
-0.1991,0.0817541926379995
-0.19909,0.07706412572939667
-0.19908,0.07118166892878686
-0.19907,0.06498124149028427
-0.19906,0.05830385809498531
-0.19905,0.0513085040618277
-0.19904,0.04383619407183757
-0.19903,0.0369203326981176
-0.19902,0.02730172090252588
-0.19901,0.01879600633946649
-0.199,0.009654350500647143
-0.19899,0.0001947240239908285
-0.19898,-0.008867439155343469
-0.19897,-0.01832706563199978
-0.19896,-0.02786618476815836
-0.19895,-0.03708733326642834
-0.19894,-0.04575203314840766
-0.19893,-0.05187296792744746
-0.19892,-0.05703999079286488
-0.19891,-0.06117360908518529
-0.1989,-0.06562519801538461
-0.19889,-0.06959983098878335
-0.19888,-0.07317700066482985
-0.19887,-0.0761182290651401
-0.19886,-0.07850300884917109
-0.19885,-0.08041083267640371
-0.19884,-0.08208017852522846
-0.19883,-0.08327256841724397
-0.19882,-0.08414698767139242
-0.19881,-0.08486242160660303
-0.1988,-0.08470343628766762
-0.19879,-0.08470343628766733
-0.19878,-0.08359053905511837
-0.19877,-0.08406749501192458
-0.19876,-0.08311358309831043
-0.19875,-0.08200068586575786
-0.19874,-0.08049032533587157
-0.19873,-0.07897996480598252
-0.19872,-0.07739011161662851
-0.19871,-0.07572076576780087
-0.1987,-0.0738129419405726
-0.19869,-0.07150765481600931
-0.19868,-0.06920236769143762
-0.19867,-0.06705606588580031
-0.19866,-0.06403534482602771
-0.19865,-0.06149157972305667
-0.19864,-0.05862984398220905
-0.19863,-0.05576810824137185
-0.19862,-0.0526678945221259
-0.19861,-0.04972666612182101
-0.1986,-0.04654695974310187
-0.19859,-0.04352623868332377
-0.19858,-0.04002856166674496
-0.19857,-0.03637189933121775
-0.19856,-0.0325562516767612
-0.19855,-0.02897908200070818
-0.19854,-0.02532241966518732
-0.19853,-0.02079133807551613
-0.19852,-0.01856554361042052
-0.19851,-0.01411395468022122
-0.1985,-0.01061627766362969
-0.19849,-0.007118600647050885
-0.19848,-0.003779908949401408
-0.19847,-0.0003617245922903022
-0.19846,0.003135952424301083
-0.19845,0.006951600078757629
-0.19844,0.01084674039267494
-0.19843,0.01434441740926719
-0.19842,0.01768310910692346
-0.19841,0.02141926410190537
-0.1984,0.02428099984274778
-0.19839,0.02793766217827514
-0.19838,0.03151483185432165
-0.19837,0.03429707493569621
-0.19836,0.03747678131440421
-0.19835,0.04097445833099517
-0.19834,0.04447213534758034
-0.19833,0.04804930502362684
-0.19832,0.05122901140234713
-0.19831,0.05440871778106092
-0.1983,0.05727045352190334
-0.19829,0.06060914521955281
-0.19828,0.06450428553348241
-0.19827,0.06736602127431961
-0.19826,0.07046623499356555
-0.19825,0.07324847807494503
-0.19824,0.07595122849684684
-0.19823,0.0788924568971571
-0.19822,0.0821516559353328
-0.19821,0.08541085497352036
-0.1982,0.08827259071436278
-0.19819,0.09113432645519998
-0.19818,0.09359859889870836
-0.19817,0.09518845208806699
-0.19816,0.0961423640016794
-0.19815,0.09526794474753311
-0.19814,0.09336012092029992
-0.19813,0.09065737049839812
-0.19812,0.08700070816287725
-0.19811,0.08302607518949225
-0.1981,0.0787334715782214
-0.19809,0.07388441935068288
-0.19808,0.06792246989060537
-0.19807,0.06188102777103832
-0.19806,0.05512415171625851
-0.19805,0.0479698123641655
-0.19804,0.04081547301205948
-0.19803,0.03382011897887223
-0.19802,0.02451947782115131
-0.19801,0.01601376325809193
-0.198,0.006872107419272867
-0.19799,-0.002428533738448047
-0.19798,-0.01117272627991097
-0.19797,-0.02071184541603498
-0.19796,-0.03009197923325801
-0.19795,-0.03955160570993153
-0.19794,-0.04781884229457235
-0.19793,-0.05386028441414357
-0.19792,-0.05878882930115776
-0.19791,-0.06308143291241357
-0.1979,-0.0672150512047415
-0.19789,-0.07103069885920484
-0.19788,-0.07476685385418674
-0.19787,-0.07746960427609347
-0.19786,-0.07969539874118907
-0.19785,-0.08176220788735708
-0.19784,-0.08343155373618182
-0.19783,-0.08470343628766501
-0.19782,-0.08565734820128147
-0.19781,-0.085895826179685
-0.1978,-0.085895826179685
-0.19779,-0.085895826179685
-0.19778,-0.08486242160660404
-0.19777,-0.08541887022287793
-0.19776,-0.0843059729903281
-0.19775,-0.0831930757577803
-0.19774,-0.08160322256842138
-0.19773,-0.08009286203853234
-0.19772,-0.07850300884917832
-0.19771,-0.07651569236247932
-0.1977,-0.07476685385418674
-0.19769,-0.07222308875122033
-0.19768,-0.06991780162664822
-0.19767,-0.06769200716154336
-0.19766,-0.06483027142070616
-0.19765,-0.06220701365826728
-0.19764,-0.0596632485552906
-0.19763,-0.0565630348360503
-0.19762,-0.05378079175467573
-0.19761,-0.05083956335437084
-0.1976,-0.04797782761352307
-0.19759,-0.04487761389427712
-0.19758,-0.04137993687769832
-0.19757,-0.03780276720163894
-0.19756,-0.03462306082291908
-0.19755,-0.03128436912527568
-0.19754,-0.02786618476815836
-0.19753,-0.02317611785955089
-0.19752,-0.02063235275658449
-0.19751,-0.01626025648585303
-0.1975,-0.01268308680980652
-0.19749,-0.009026424474279159
-0.19748,-0.005369762138758302
-0.19747,-0.002110563100582597
-0.19746,0.001784577213347723
-0.19745,0.005918195505675648
-0.19744,0.009574857841189855
-0.19743,0.01339050549565305
-0.19742,0.01704716783118085
-0.19741,0.02086281548563046
-0.1974,0.02491694111849053
-0.19739,0.02865309611348531
-0.19738,0.03199178781112871
-0.19737,0.0351714941898425
-0.19736,0.03851018588748591
-0.19735,0.04232583354194853
-0.19734,0.04598249587746939
-0.19733,0.04995712885085439
-0.19732,0.05329582054851111
-0.19731,0.05663451224616665
-0.1973,0.05997320394381006
-0.19729,0.06355037361986306
-0.19728,0.06784297723113158
-0.19727,0.07054572765303339
-0.19726,0.0742818826480221
-0.19725,0.0770641257293916
-0.19724,0.08016433944864261
-0.19723,0.08342353848682424
-0.19722,0.08684172284393535
-0.19721,0.09033939986052673
-0.1972,0.09328062826083698
-0.19719,0.0961423640016794
-0.19718,0.09836815846677904
-0.19717,0.1001964896345418
-0.19716,0.101468372186025
-0.19715,0.1003554749534752
-0.19714,0.09844765112624212
-0.19713,0.09582439336380802
-0.19712,0.09208823836881931
-0.19711,0.08795462007649892
-0.1971,0.08342353848682424
-0.19709,0.07809753030247865
-0.19708,0.07229456616133655
-0.19707,0.06593515340389841
-0.19706,0.05901929203018261
-0.19705,0.0517059673591542
-0.19704,0.04455162800704818
-0.19703,0.03739728865492495
-0.19702,0.02793766217826863
-0.19701,0.01951144027467709
-0.197,0.01021079911695618
-0.19699,0.0009101579592014309
-0.19698,-0.007834034582261487
-0.19697,-0.0174526463778532
-0.19696,-0.02699176551401206
-0.19695,-0.03645139199068559
-0.19694,-0.04503659921321282
-0.19693,-0.05099854867330117
-0.19692,-0.05592709356031565
-0.19691,-0.06037868249050685
-0.1969,-0.064909764080174
-0.19689,-0.06896388971304016
-0.19688,-0.07230258141068356
-0.19687,-0.07524380981099381
-0.19686,-0.07754909693555712
-0.19685,-0.07969539874119312
-0.19684,-0.08160322256842138
-0.19683,-0.08295459777937229
-0.19682,-0.0837495243740532
-0.19681,-0.08374952437405363
-0.1968,-0.08398800235245672
-0.19679,-0.08406749501192458
-0.19678,-0.08255713448203654
-0.19677,-0.08311358309831043
-0.19676,-0.0821596711846963
-0.19675,-0.08041083267640689
-0.19674,-0.07897996480598252
-0.19673,-0.07762858959502915
-0.19672,-0.07603873640567514
-0.19671,-0.07405141991897614
-0.1967,-0.07198461077280741
-0.19669,-0.0693613530103733
-0.19668,-0.0670560658858058
-0.19667,-0.06475077876123281
-0.19666,-0.0617300577014602
-0.19665,-0.05926578525795702
-0.19664,-0.0566425274955125
-0.19663,-0.05354231377627219
-0.19662,-0.05068057803542979
-0.19661,-0.04765985697565718
-0.1966,-0.04455964325640575
-0.19659,-0.04122095155875627
