#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 20:05:23.479.869.720
#Sample rate: 208333Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 2 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.09149681384438382,-0.3703205617556334
-0.09149201384438382,-0.3704000544151012
-0.09148721384438382,-0.3699230984582942
-0.09148241384438383,-0.370002591117762
-0.09147761384438383,-0.3693666498420192
-0.09147281384438383,-0.3696051278204228
-0.09146801384438383,-0.3679357819716011
-0.09146321384438383,-0.3669818700579856
-0.09145841384438383,-0.3680947672905318
-0.09145361384438383,-0.3678562893121307
-0.09144881384438382,-0.3668228847390492
-0.09144401384438382,-0.3673793333553211
-0.09143921384438382,-0.3662664361227735
-0.09143441384438382,-0.3663459287822411
-0.09142961384438382,-0.3665844067606447
-0.09142481384438382,-0.3658689728254341
-0.09142001384438382,-0.3656304948470305
-0.09141521384438382,-0.3653125242091592
-0.09141041384438382,-0.3651535388902235
-0.09140561384438382,-0.3642791196360772
-0.09140081384438382,-0.3644381049550129
-0.09139601384438382,-0.3636431783603344
-0.09139121384438383,-0.3638021636792701
-0.09138641384438383,-0.3629277444251238
-0.09138161384438383,-0.3631662224035274
-0.09137681384438383,-0.3625302811277858
-0.09137201384438383,-0.3633252077224616
-0.09136721384438383,-0.3618148471925767
-0.09136241384438382,-0.3626097737872503
-0.09135761384438382,-0.361417383895236
-0.09135281384438382,-0.3621328178304428
-0.09134801384438382,-0.360701949960024
-0.09134321384438382,-0.3606224573005563
-0.09133841384438382,-0.3583966628354567
-0.09133361384438382,-0.360781442619492
-0.09132881384438382,-0.3594300674085387
-0.09132401384438382,-0.3595095600680065
-0.09131921384438382,-0.3591120967706673
-0.09131441384438382,-0.3591120967706673
-0.09130961384438382,-0.3588736187922638
-0.09130481384438383,-0.3583966628354567
-0.09130001384438383,-0.3583171701759889
-0.09129521384438383,-0.3578402142191818
-0.09129041384438383,-0.3573632582623756
-0.09128561384438383,-0.35648883900823
-0.09128081384438383,-0.3568068096460992
-0.09127601384438383,-0.355693912413552
-0.09127121384438382,-0.3564093463487581
-0.09126641384438382,-0.3550579711378085
-0.09126161384438382,-0.3557734050730154
-0.09125681384438382,-0.3544220298620644
-0.09125201384438382,-0.3548989858188715
-0.09124721384438382,-0.3541040592241931
-0.09124241384438382,-0.3543425372025966
-0.09123761384438382,-0.3534681179484503
-0.09123281384438382,-0.3538655812457895
-0.09122801384438382,-0.352593698694304
-0.09122321384438382,-0.3527526840132397
-0.09121841384438382,-0.3517192794401577
-0.09121361384438383,-0.3507653675265436
-0.09120881384438383,-0.3518782647590934
-0.09120401384438383,-0.3516397867806899
-0.09119921384438383,-0.3507653675265452
-0.09119441384438383,-0.3511628308238821
-0.09118961384438383,-0.3503679042292058
-0.09118481384438382,-0.3503679042292038
-0.09118001384438382,-0.350049933591332
-0.09117521384438382,-0.3494934849750579
-0.09117041384438382,-0.3494139923155885
-0.09116561384438382,-0.3484600804019761
-0.09116081384438382,-0.3480626171046369
-0.09115601384438382,-0.3477446464667655
-0.09115121384438382,-0.3469497198720871
-0.09114641384438382,-0.3471087051910227
-0.09114161384438382,-0.3459163152990051
-0.09113681384438382,-0.3459958079584729
-0.09113201384438382,-0.3453598666827302
-0.09112721384438383,-0.3455983446611336
-0.09112241384438383,-0.3448034180664552
-0.09111761384438383,-0.3450418960448587
-0.09111281384438383,-0.3436905208339078
-0.09110801384438383,-0.3440084914717762
-0.09110321384438383,-0.3427366089202936
-0.09109841384438383,-0.3430545795581621
-0.09109361384438382,-0.3417032043472076
-0.09108881384438382,-0.340749292433596
-0.09108401384438382,-0.3412262483904021
-0.09107921384438382,-0.3411467557309344
-0.09107441384438382,-0.339795380519981
-0.09106961384438382,-0.3397158878605132
-0.09106481384438382,-0.339318424563174
-0.09106001384438382,-0.3386029906279633
