#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-06 20:22:17.613.047.610
#Sample rate: 1.23457e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01027746373279352,-0.07890047214651179
-0.01027665373279352,-0.07810554555183621
-0.01027584373279352,-0.07802605289236837
-0.01027503373279352,-0.07858250150864329
-0.01027422373279352,-0.07905945746545036
-0.01027341373279352,-0.07913895012491777
-0.01027260373279352,-0.07890047214651395
-0.01027179373279352,-0.0785030088491753
-0.01027098373279352,-0.07842351618970528
-0.01027017373279352,-0.077787574913966
-0.01026936373279352,-0.07770808225449699
-0.01026855373279352,-0.07762858959502915
-0.01026774373279352,-0.07723112629768993
-0.01026693373279352,-0.0769131556598197
-0.01026612373279352,-0.07754909693556203
-0.01026531373279352,-0.07794656023290111
-0.01026450373279352,-0.07826453087077205
-0.01026369373279352,-0.07834402353023773
-0.01026288373279352,-0.07778757491396586
-0.01026207373279352,-0.07739011161662562
-0.01026126373279352,-0.07707214097875424
-0.01026045373279352,-0.07691315565981854
-0.01025964373279352,-0.0764361997030106
-0.01025883373279352,-0.07595924374620369
-0.01025802373279352,-0.07556178044886591
-0.01025721373279352,-0.07595924374620398
-0.01025640373279352,-0.07572076576780175
-0.01025559373279352,-0.07595924374620441
-0.01025478373279352,-0.07619772172460795
-0.01025397373279352,-0.07627721438407579
-0.01025316373279352,-0.0761182290651401
-0.01025235373279352,-0.07643619970300961
-0.01025154373279352,-0.07540279512992806
-0.01025073373279352,-0.07460786853524845
-0.01024992373279352,-0.07317700066482768
-0.01024911373279352,-0.07198461077280871
-0.01024830373279352,-0.07103069885919804
-0.01024749373279352,-0.07174613279440864
-0.01024668373279352,-0.07206410343228002
-0.01024587373279352,-0.07230258141068356
-0.01024506373279352,-0.07254105938908868
-0.01024425373279352,-0.07341547864323583
-0.01024344373279352,-0.07476685385418703
-0.01024263373279352,-0.07492583917312141
-0.01024182373279352,-0.07436939055684549
-0.01024101373279352,-0.0738129419405726
-0.01024020373279352,-0.07277953736749063
-0.01023939373279352,-0.07182562545387648
-0.01023858373279352,-0.07158714747547296
-0.01023777373279352,-0.07134866949706942
-0.01023696373279352,-0.07134866949707
-0.01023615373279352,-0.07166664013494123
-0.01023534373279352,-0.07190511811334346
-0.01023453373279352,-0.07166664013494123
-0.01023372373279352,-0.07262055204855493
-0.01023291373279352,-0.07190511811334434
-0.01023210373279352,-0.07134866949706942
-0.01023129373279352,-0.07111019151866589
-0.01023048373279352,-0.07047425024292241
-0.01022967373279352,-0.0700767869455839
-0.01022886373279352,-0.07007678694558332
-0.01022805373279352,-0.06975881630771252
-0.01022724373279352,-0.06975881630771252
-0.01022643373279352,-0.06967932364824468
-0.01022562373279352,-0.06975881630771252
-0.01022481373279352,-0.07015627960505175
-0.01022400373279352,-0.07023577226451988
-0.01022319373279352,-0.07039475758345398
-0.01022238373279352,-0.06967932364824338
-0.01022157373279352,-0.0689638897130332
-0.01022076373279352,-0.06848693375622643
-0.01021995373279352,-0.06832794843729131
-0.01021914373279352,-0.06785099248048425
-0.01021833373279352,-0.06785099248048425
-0.01021752373279352,-0.06777149982101641
-0.01021671373279352,-0.06777149982101655
-0.01021590373279352,-0.06785099248048483
-0.01021509373279352,-0.06816896311835621
-0.01021428373279352,-0.06848693375622571
-0.01021347373279352,-0.06777149982101496
-0.01021266373279352,-0.06737403652367718
-0.01021185373279352,-0.06681758790740228
-0.01021104373279352,-0.06657910992899874
-0.01021023373279352,-0.06618164663165951
-0.01020942373279352,-0.06594316865325611
-0.01020861373279352,-0.06602266131272441
-0.01020780373279352,-0.06634063195059621
-0.01020699373279352,-0.06689708056687012
-0.01020618373279352,-0.06689708056686838
-0.01020537373279352,-0.06642012461006305
-0.01020456373279352,-0.06594316865325597
-0.01020375373279352,-0.06522773471804538
-0.01020294373279352,-0.06483027142070616
-0.01020213373279352,-0.06435331546389836
-0.01020132373279352,-0.06395585216656015
-0.01020051373279352,-0.06411483748549569
-0.01019970373279352,-0.06419433014496252
-0.01019889373279352,-0.06371737418815691
-0.01019808373279352,-0.06387635950709201
-0.01019727373279352,-0.06459179344230262
-0.01019646373279352,-0.06411483748549555
-0.01019565373279352,-0.06427382280443124
-0.01019484373279352,-0.06355838886921962
-0.01019403373279352,-0.0630019402529453
-0.01019322373279352,-0.06276346227454088
-0.01019241373279352,-0.06204802833932985
-0.01019160373279352,-0.06157107238252538
-0.01019079373279352,-0.06133259440412098
-0.01018998373279352,-0.06101462376624961
-0.01018917373279352,-0.06109411642571745
-0.01018836373279352,-0.06077614578784737
-0.01018755373279352,-0.06149157972305638
-0.01018674373279352,-0.06133259440412069
-0.01018593373279352,-0.06117360908518413
-0.01018512373279352,-0.06053766780944137
-0.01018431373279352,-0.06021969717157116
-0.01018350373279352,-0.0594247705768927
-0.01018269373279352,-0.05934527791742486
-0.01018188373279352,-0.05878882930114995
-0.01018107373279352,-0.05847085866327756
-0.01018026373279352,-0.0579144100470041
-0.01017945373279352,-0.0581528880254069
-0.01017864373279352,-0.05799390270647252
-0.01017783373279352,-0.05855035132274728
-0.01017702373279352,-0.05878882930114995
-0.01017621373279352,-0.05862984398221426
-0.01017540373279352,-0.05791441004700366
-0.01017459373279352,-0.05759643940913228
-0.01017378373279352,-0.0574374540901947
-0.01017297373279352,-0.05640404951711389
-0.01017216373279352,-0.05600658621977524
-0.01017135373279352,-0.05592709356030697
-0.01017054373279352,-0.0556091229224353
-0.01016973373279352,-0.05537064494403263
-0.01016892373279352,-0.05529115228456478
-0.01016811373279352,-0.05545013760350047
-0.01016730373279352,-0.05568861558190401
-0.01016649373279352,-0.05584760090083897
-0.01016568373279352,-0.05545013760350018
-0.01016487373279352,-0.05529115228456348
-0.01016406373279352,-0.05457571834935317
-0.01016325373279352,-0.05401926973307811
-0.01016244373279352,-0.05370129909520789
-0.01016163373279352,-0.05322434313840083
-0.01016082373279352,-0.05242941654372238
-0.01016001373279352,-0.05250890920319022
-0.01015920373279352,-0.05250890920319008
-0.01015839373279352,-0.0524294165437231
-0.01015758373279352,-0.05282687984106247
-0.01015677373279352,-0.05330383579786693
-0.01015596373279352,-0.05282687984106247
-0.01015515373279352,-0.05203195324638316
-0.01015434373279352,-0.05179347526797962
-0.01015353373279352,-0.05107804133276901
-0.01015272373279352,-0.05083956335436519
-0.01015191373279352,-0.0506805780354282
-0.01015110373279352,-0.04980615878128365
-0.01015029373279352,-0.04988565144075018
-0.01014948373279352,-0.04924971016500945
-0.01014867373279352,-0.04948818814341168
-0.01014786373279352,-0.04988565144075134
-0.01014705373279352,-0.0505215927164941
-0.01014624373279352,-0.05020362207862272
-0.01014543373279352,-0.05028311473808868
-0.01014462373279352,-0.04924971016500742
-0.01014381373279352,-0.04861376888926452
-0.01014300373279352,-0.0478983349540545
-0.01014219373279352,-0.04750087165671427
-0.01014138373279352,-0.04702391569990894
-0.01014057373279352,-0.04686493038097324
-0.01013976373279352,-0.04670594506203755
-0.01013895373279352,-0.04654695974310187
-0.01013814373279352,-0.04638797442416632
