#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 18:11:02.135.091.480
#Sample rate: 344828Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.03483791871635368,-0.06864591907520752
-0.03483501871635368,-0.05632455685766918
-0.03483211871635368,-0.05529115228456667
-0.03482921871635368,-0.05584760090083868
-0.03482631871635368,-0.05425774771148569
-0.03482341871635368,-0.06657910992897632
-0.03482051871635368,-0.07460786853523646
-0.03481761871635368,-0.07317700066483246
-0.03481471871635368,-0.07190511811334666
-0.03481181871635368,-0.07333598598376292
-0.03480891871635368,-0.09670682786726938
-0.03480601871635368,-0.1003634902028261
-0.03480311871635368,-0.1006814608407035
-0.03480021871635368,-0.09988653424602711
-0.03479731871635368,-0.09861465169454248
-0.03479441871635368,-0.08820111330427144
-0.03479151871635368,-0.08152372990896568
-0.03478861871635368,-0.07818503821131015
-0.03478571871635368,-0.08064931065480277
-0.03478281871635368,-0.08049032533587186
-0.03477991871635368,-0.06244549163670363
-0.03477701871635368,-0.05576810824138399
-0.03477411871635368,-0.05648354217658115
-0.03477121871635368,-0.05497318164669615
-0.03476831871635368,-0.05521165962509651
-0.03476541871635368,-0.06928186035087987
-0.03476251871635368,-0.07913895012490027
-0.03475961871635368,-0.0792184427843859
-0.03475671871635368,-0.07961590608172454
-0.03475381871635368,-0.07778757491396818
-0.03475091871635368,-0.08931401053678135
-0.03474801871635368,-0.09464001872113824
-0.03474511871635368,-0.09225523893711693
-0.03474221871635368,-0.09201676095870948
-0.03473931871635368,-0.09273219489391835
-0.03473641871635368,-0.08049032533587157
-0.03473351871635368,-0.06856642641569485
-0.03473061871635368,-0.06785099248048425
-0.03472771871635368,-0.06578418333432029
-0.03472481871635368,-0.06626113929112736
-0.03472191871635368,-0.05489368898722556
-0.03471901871635368,-0.0451955845321485
-0.03471611871635367,-0.04527507719161634
-0.03471321871635367,-0.04575203314842342
-0.03471031871635367,-0.0446391359158736
-0.03470741871635367,-0.05966324855529624
-0.03470451871635367,-0.07691315565981854
-0.03470161871635367,-0.07595924374620441
-0.03469871871635367,-0.07556178044886519
-0.03469581871635367,-0.0761182290651401
-0.03469291871635367,-0.08112626661161432
-0.03469001871635367,-0.09519646733742283
-0.03468711871635367,-0.09670682786731188
-0.03468421871635367,-0.09575291595369775
-0.03468131871635367,-0.09559393063476206
-0.03467841871635367,-0.09010893713148077
-0.03467551871635367,-0.07627721438407579
-0.03467261871635367,-0.07373344928110476
-0.03466971871635367,-0.07405141991897614
-0.03466681871635367,-0.07349497130270123
-0.03466391871635367,-0.06681758790740228
-0.03466101871635367,-0.05123702665170471
-0.03465811871635367,-0.04837529091086229
-0.03465521871635367,-0.04710340835937678
-0.03465231871635367,-0.04646746708363401
