#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 16:51:57.356.731.800
#Sample rate: 299401Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.0547213075,-0.09146031234243414
-0.05471796749999999,-0.09153980500190198
-0.05471462749999999,-0.09360661414806594
-0.0547112875,-0.09074487840722353
-0.05470794749999999,-0.09130132702349844
-0.0547046075,-0.0919372682992412
-0.0547012675,-0.09185777563977336
-0.05469792749999999,-0.09400407744540516
-0.0546945875,-0.09575291595369775
-0.0546912475,-0.09940957828921861
-0.05468790749999999,-0.1017148654137861
-0.0546845675,-0.1038611672194179
-0.05468122749999999,-0.1037816745599508
-0.05467788749999999,-0.1041791378572893
-0.0546745475,-0.103304718603143
-0.05467120749999999,-0.1052125424303713
-0.05466786749999999,-0.1026687773274002
-0.0546645275,-0.1009994314785755
-0.05466118749999999,-0.1041791378572893
-0.0546578475,-0.1056894983871783
-0.0546545075,-0.1059279763655819
-0.05465116749999999,-0.1066434103007925
-0.0546478275,-0.1057689910466462
-0.0546444875,-0.1110949992309821
-0.05464114749999999,-0.1114129698688632
-0.0546378075,-0.1085512341280207
-0.05463446749999999,-0.1107770285931216
-0.05463112749999999,-0.1114129698688632
-0.0546277875,-0.1116514478472667
-0.05462444749999999,-0.1124463744419451
-0.05462110749999999,-0.1112539845499275
-0.0546177675,-0.1130823157176879
-0.05461442749999999,-0.1134797790150271
-0.0546110875,-0.110459057955249
-0.0546077475,-0.1119694184851381
-0.05460440749999999,-0.1112539845499275
-0.0546010675,-0.1090281900848278
-0.0545977275,-0.1167389780531947
-0.05459438749999999,-0.1146721689070448
-0.0545910475,-0.1164210074153374
-0.05458770749999999,-0.1227804201727584
-0.05458436749999999,-0.1192032504967119
-0.0545810275,-0.1205546257076653
-0.05457768749999999,-0.1198391917724547
-0.0545743475,-0.1199186844319225
-0.0545710075,-0.1206341183671331
-0.05456766749999999,-0.1237343320863791
-0.0545643275,-0.1252446926162681
-0.0545609875,-0.1277089650597713
-0.05455764749999999,-0.1273909944218999
-0.0545543075,-0.1271525164434964
-0.0545509675,-0.1279474430381734
-0.05454762749999999,-0.1321605539899706
-0.0545442875,-0.1336709145198597
-0.05454094749999999,-0.1305707008006137
-0.05453760749999999,-0.1308091787790173
-0.0545342675,-0.1323990319683742
-0.05453092749999999,-0.130411715481678
-0.0545275875,-0.1302527301627423
-0.0545242475,-0.1291398329301925
-0.05452090749999999,-0.1265960678272215
-0.0545175675,-0.1362146796228307
-0.0545142275,-0.1328759879251873
-0.05451088749999999,-0.1338298998387953
-0.0545075475,-0.1361351869633629
-0.05450420749999999,-0.1362941722822998
-0.05450086749999999,-0.1370096062175091
-0.0544975275,-0.1364531576012342
-0.05449418749999999,-0.1347838117524095
-0.05449084749999999,-0.1438459749317438
-0.0544875075,-0.1409842391909014
-0.05448416749999999,-0.1400303272772872
-0.0544808275,-0.1410637318503692
-0.0544774875,-0.1431305409965332
-0.05447414749999999,-0.1457537987589721
-0.0544708075,-0.144243438229083
-0.0544674675,-0.1440049602506799
-0.05446412749999999,-0.1459127840779078
-0.0544607875,-0.1440049602506795
-0.05445744749999999,-0.1444024235480194
-0.05445410749999999,-0.1447998868453579
-0.0544507675,-0.1489335051376859
-0.05444742749999999,-0.1521927041758675
-0.05444408749999999,-0.1523516894948032
-0.0544407475,-0.1539415426841601
-0.05443740749999999,-0.1544184986409671
-0.0544340675,-0.1514772702406569
-0.0544307275,-0.1513182849217212
-0.05442738749999999,-0.1522721968353353
-0.0544240475,-0.1471051739699254
-0.0544207075,-0.1546569766193569
-0.05441736749999999,-0.1560878444897919
-0.0544140275,-0.1544184986409671
-0.05441068749999999,-0.1555313958735138
-0.05440734749999999,-0.1537825573652244
-0.0544040075,-0.1544184986409671
-0.05440066749999999,-0.1540210353436279
-0.0543973275,-0.1521132115163996
-0.0543939875,-0.1603009554415877
-0.05439064749999999,-0.1590290728901021
-0.0543873075,-0.1590290728901021
-0.0543839675,-0.1610163893767982
-0.05438062749999999,-0.1595060288469092
-0.0543772875,-0.1623677645877516
-0.05437394749999999,-0.1603009554415852
-0.05437060749999999,-0.1589495802306343
-0.0543672675,-0.1629242132040265
-0.05436392749999999,-0.1655474709664654
-0.05436058749999999,-0.1634806618203014
-0.0543572475,-0.1649115296907226
-0.05435390749999999,-0.1636396471392371
-0.0543505675,-0.1634806618203014
-0.0543472275,-0.1647525443717869
-0.05434388749999999,-0.1626062425661551
-0.0543405475,-0.1665808755395474
-0.0543372075,-0.1678527580910306
-0.05433386749999999,-0.1678527580910329
-0.0543305275,-0.1706350011724075
-0.05432718749999999,-0.1661834122422248
-0.05432384749999999,-0.1753250680810103
-0.0543205075,-0.1755635460594138
-0.05431716749999999,-0.1757225313783495
-0.05431382749999999,-0.1766764432919637
-0.0543104875,-0.1741326781889926
-0.05430714749999999,-0.1736557222321856
-0.0543038075,-0.1758020240378174
-0.0543004675,-0.1743711561673962
-0.05429712749999999,-0.1736557222321856
-0.0542937875,-0.1746096341457997
-0.0542904475,-0.1740531855295258
-0.05428710749999999,-0.1734967369132499
-0.0542837675,-0.1781868038218527
-0.05428042749999999,-0.1757225313783544
-0.05427708749999999,-0.1784252818002562
-0.0542737475,-0.1773918772271743
-0.05427040749999999,-0.1773123845677064
-0.05426706749999999,-0.1788227450975955
-0.0542637275,-0.178027818502917
-0.05426038749999999,-0.1791407157354668
-0.0542570475,-0.1812870175410987
-0.0542537075,-0.18160498817897
-0.05425036749999999,-0.1831153487088591
-0.0542470275,-0.1837512899846018
-0.0542436875,-0.1822409294547155
-0.05424034749999999,-0.1833538266872626
-0.0542370075,-0.1809690469032273
-0.05423366749999999,-0.1820819441357807
-0.05423032749999999,-0.1840692606224732
-0.0542269875,-0.1868515037038478
-0.05422364749999999,-0.1862950550875729
-0.0542203075,-0.1864540404065086
-0.0542169675,-0.1868515037038478
