#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-01 16:48:33.683.544.930
#Sample rate: 299401Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.05472024769230769,-0.006800630009179506
-0.05471690769230769,-0.00870845383640778
-0.05471356769230769,-0.008231497879600711
-0.05471022769230769,-0.01101374096097528
-0.05470688769230769,-0.009662365750021917
-0.05470354769230769,-0.007993019901197176
-0.05470020769230769,-0.009900843728425451
-0.05469686769230769,-0.01196765287458941
-0.05469352769230769,-0.01204714553405726
-0.05469018769230769,-0.01013932170682898
-0.05468684769230769,-0.008310990539068556
-0.05468350769230769,-0.008787946495875625
-0.05468016769230769,-0.01045729234469646
-0.05467682769230769,-0.008310990539068556
-0.05467348769230769,-0.008072512560665022
-0.05467014769230769,-0.009821351068957606
-0.05466680769230769,-0.007436571284922264
-0.05466346769230769,-0.007754541922793643
-0.05466012769230769,-0.007993019901197176
-0.05465678769230769,-0.008310990539068556
-0.05465344769230769,-0.01061627766363605
-0.05465010769230769,-0.008787946495875625
-0.05464676769230769,-0.008946931814811314
-0.05464342769230769,-0.009264902452682114
-0.05464008769230769,-0.008469975858004245
-0.05463674769230769,-0.009741858409489761
-0.05463340769230769,-0.007516063944391122
-0.05463006769230769,-0.008072512560665022
-0.05462672769230769,-0.008867439155343469
-0.05462338769230769,-0.006800630009179506
-0.05462004769230769,-0.008152005220132867
-0.05461670769230769,-0.008549468517472091
-0.05461336769230769,-0.007118600647050885
-0.05461002769230769,-0.009105917133747003
-0.05460668769230769,-0.007039107987583041
-0.05460334769230769,-0.007675049263325798
-0.05460000769230769,-0.009582873090554072
-0.05459666769230769,-0.00846997585800627
-0.05459332769230769,-0.009980336387893295
-0.05458998769230769,-0.01252410149086433
-0.05458664769230769,-0.008946931814813772
-0.05458330769230769,-0.01029830702576467
-0.05457996769230769,-0.009264902452682692
-0.05457662769230769,-0.009264902452682692
-0.05457328769230769,-0.01244460883139648
-0.05456994769230769,-0.01204714553405726
-0.05456660769230769,-0.01101374096097528
-0.05456326769230769,-0.009900843728425451
-0.05455992769230769,-0.009344395112150537
-0.05455658769230769,-0.01117272627991097
-0.05455324769230769,-0.0106957703231039
-0.05454990769230769,-0.009503380431088395
-0.05454656769230769,-0.01053678500416821
-0.05454322769230769,-0.008946931814811314
-0.05453988769230769,-0.009423887771618383
-0.05453654769230769,-0.0106957703231039
-0.05453320769230769,-0.01093424830150743
-0.05452986769230769,-0.0121266381935251
-0.05452652769230769,-0.009582873090554072
-0.05452318769230769,-0.01045729234470036
-0.05451984769230769,-0.01093424830150743
-0.05451650769230769,-0.009503380431086226
-0.05451316769230769,-0.009980336387892428
-0.05450982769230769,-0.009344395112150537
-0.05450648769230769,-0.008787946495875625
-0.05450314769230769,-0.01029830702576222
-0.05449980769230769,-0.008946931814811314
-0.05449646769230769,-0.007754541922793643
-0.05449312769230769,-0.009503380431086226
-0.05448978769230769,-0.01021881436629683
-0.05448644769230769,-0.01284207212873571
-0.05448310769230769,-0.01379598404234984
-0.05447976769230769,-0.01308055010713924
-0.05447642769230769,-0.01498837393436751
-0.05447308769230769,-0.01530634457223889
-0.05446974769230769,-0.01419344733968906
-0.05446640769230769,-0.01554482255063997
-0.05446306769230769,-0.01467040329649613
-0.05445972769230769,-0.01490888127489967
-0.05445638769230769,-0.01514735925329973
-0.05445304769230769,-0.01323953542607493
-0.05444970769230769,-0.01498837393436751
-0.05444636769230769,-0.01808858765361345
-0.05444302769230769,-0.01586279318851381
-0.05443968769230769,-0.01427293999915691
-0.05443634769230769,-0.01395496936128553
-0.05443300769230769,-0.01490888127489967
-0.05442966769230769,-0.01578330052904596
-0.05442632769230769,-0.01316004276660708
-0.05442298769230769,-0.0151473592533032
-0.05441964769230769,-0.0147498959559647
-0.05441630769230769,-0.01506786659383536
-0.05441296769230769,-0.01626025648585303
-0.05440962769230769,-0.01459091063702973
-0.05440628769230769,-0.01538583723170674
-0.05440294769230769,-0.01490888127489967
-0.05439960769230769,-0.01316004276660708
-0.05439626769230769,-0.01459091063702829
-0.05439292769230769,-0.01411395468022122
-0.05438958769230769,-0.01284207212873571
-0.05438624769230769,-0.01379598404234984
-0.05438290769230769,-0.01292156478820355
-0.05437956769230769,-0.01268308680980001
-0.05437622769230769,-0.01355750606394631
-0.05437288769230769,-0.01220613085299584
-0.05436954769230769,-0.01379598404234984
-0.05436620769230769,-0.01331902808554277
-0.05436286769230769,-0.01339852074501062
-0.05435952769230769,-0.01459091063702829
-0.05435618769230769,-0.01435243265862475
-0.05435284769230769,-0.01602177850744949
-0.05434950769230769,-0.01626025648585303
-0.05434616769230769,-0.01379598404234984
-0.05434282769230769,-0.01459091063702829
-0.05433948769230769,-0.01427293999915691
-0.05433614769230769,-0.01403446202075381
-0.05433280769230769,-0.01427293999915691
-0.05432946769230769,-0.01180866755565372
-0.05432612769230769,-0.01323953542608751
-0.05432278769230769,-0.02015539679977742
-0.05431944769230769,-0.0197579335024382
-0.05431610769230769,-0.0188835142482919
-0.05431276769230769,-0.01753213903733854
-0.05430942769230769,-0.01729366105893501
-0.05430608769230769,-0.01904249956722759
-0.05430274769230769,-0.01785010967520992
-0.05429940769230769,-0.01864503626988837
-0.05429606769230769,-0.02110930871339155
-0.05429272769230769,-0.02015539679977742
-0.05428938769230769,-0.01888351424829422
