#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BD5874
#Date Time: 2025-04-03 12:11:05.847.623.670
#Sample rate: 352113Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Amplitude: 200 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.01320215574592556,-0.158075160976488
-0.01319931574592555,-0.1553724105545813
-0.01319647574592556,-0.1533056014084173
-0.01319363574592555,-0.1531466160894816
-0.01319079574592556,-0.1527491527921424
-0.01318795574592555,-0.155849366511386
-0.01318511574592555,-0.1545774839599028
-0.01318227574592556,-0.1510003142838563
-0.01317943574592555,-0.1596650141658449
-0.01317659574592556,-0.168806670004647
-0.01317375574592555,-0.1735762295727177
-0.01317091574592556,-0.1735762295727177
-0.01316807574592555,-0.1689656553235606
-0.01316523574592555,-0.1568032784250025
-0.01316239574592556,-0.1490129977971679
-0.01315955574592555,-0.1526696601326746
-0.01315671574592556,-0.1553724105545813
-0.01315387574592555,-0.153464586727353
-0.01315103574592556,-0.1545774839599028
-0.01314819574592555,-0.1534645867273432
-0.01314535574592555,-0.1480590858835396
-0.01314251574592556,-0.1495694464134259
-0.01313967574592555,-0.1494899537539608
-0.01313683574592556,-0.1451973501426971
-0.01313399574592555,-0.1464692326941827
-0.01313115574592556,-0.1485360418403466
-0.01312831574592555,-0.1459127840778994
-0.01312547574592555,-0.1413022098287728
-0.01312263574592556,-0.1436869896128038
-0.01311979574592555,-0.1422561217423869
-0.01311695574592556,-0.1420971364234512
-0.01311411574592555,-0.1455948134400364
-0.01311127574592556,-0.1499669097107678
-0.01310843574592555,-0.1474231446077968
-0.01310559574592556,-0.1505233583270427
-0.01310275574592556,-0.1498874170513012
-0.01309991574592555,-0.1539415426841601
-0.01309707574592556,-0.1552929178951134
-0.01309423574592555,-0.1533850940678851
-0.01309139574592556,-0.150920821624382
-0.01308855574592555,-0.1548159619383064
-0.01308571574592556,-0.1542595133220314
-0.01308287574592555,-0.1514772702406706
-0.01308003574592555,-0.1590290728901021
-0.01307719574592556,-0.1596650141658437
-0.01307435574592555,-0.151954226197464
-0.01307151574592556,-0.1513182849217212
-0.01306867574592555,-0.1552929178951134
-0.01306583574592556,-0.1511592996027855
-0.01306299574592555,-0.1537030647057588
-0.01306015574592555,-0.154974947257242
-0.01305731574592556,-0.1542595133220327
-0.01305447574592555,-0.154497991300435
-0.01305163574592556,-0.1556108885329848
-0.01304879574592555,-0.1627652278850908
-0.01304595574592556,-0.1665013828800795
-0.01304311574592555,-0.1784252818002578
-0.01304027574592555,-0.1792997010544025
-0.01303743574592556,-0.1647525443718134
-0.01303459574592555,-0.1575187123602131
-0.01303175574592556,-0.1561673371492597
-0.01302891574592555,-0.1550544399167099
-0.01302607574592556,-0.1572007417223417
-0.01302323574592555,-0.1599034921442425
-0.01302039574592555,-0.1566442931060668
-0.01301755574592556,-0.154736469278842
-0.01301471574592555,-0.1511592996027855
-0.01301187574592556,-0.1474231446077968
-0.01300903574592555,-0.1468666959915219
-0.01300619574592556,-0.148854012478218
-0.01300335574592555,-0.1470256813104557
-0.01300051574592555,-0.1459922767373756
-0.01299767574592556,-0.149330968435019
-0.01299483574592555,-0.1482975638619431
-0.01299199574592556,-0.1470256813104576
-0.01298915574592555,-0.1505233583270427
-0.01298631574592556,-0.1501258950297035
-0.01298347574592555,-0.1472641592888657
-0.01298063574592555,-0.1498079243918321
-0.01297779574592556,-0.1496489390728967
-0.01297495574592555,-0.1466282180131183
-0.01297211574592556,-0.1490129977971537
-0.01296927574592555,-0.1506028509865106
-0.01296643574592556,-0.1470256813104576
-0.01296359574592555,-0.1478206079051402
-0.01296075574592555,-0.1501258950297035
-0.01295791574592556,-0.1475026372672694
-0.01295507574592555,-0.1521132115163996
-0.01295223574592556,-0.1553724105545813
-0.01294939574592555,-0.1510003142838498
-0.01294655574592556,-0.145276842802165
-0.01294371574592555,-0.1502848803486412
-0.01294087574592555,-0.151397777581189
-0.01293803574592556,-0.148218071202481
-0.01293519574592555,-0.1511592996027855
-0.01293235574592556,-0.1527491527921424
-0.01292951574592555,-0.1486155344998145
-0.01292667574592556,-0.1521927041758675
-0.01292383574592555,-0.1503643730081071
-0.01292099574592556,-0.1479001005646039
-0.01291815574592556,-0.1578366829980664
-0.01291531574592555,-0.1667398608584831
-0.01291247574592556,-0.1715094204265538
-0.01290963574592555,-0.1703170305345361
-0.01290679574592556,-0.1618908086309445
-0.01290395574592555,-0.1503643730081071
-0.01290111574592556,-0.1477411152456682
-0.01289827574592555,-0.1533056014084092
-0.01289543574592555,-0.148854012478218
-0.01289259574592556,-0.1461512620563113
-0.01288975574592555,-0.1483770565214109
-0.01288691574592556,-0.1483770565214109
-0.01288407574592555,-0.1436074969533402
-0.01288123574592556,-0.143766482272276
-0.01287839574592555,-0.1459127840779028
-0.01287555574592555,-0.143210033656001
-0.01287271574592556,-0.1435280042938718
-0.01286987574592555,-0.1462307547157791
-0.01286703574592556,-0.1448793795048258
-0.01286419574592555,-0.1414611951477084
-0.01286135574592556,-0.1446409015264222
-0.01285851574592555,-0.1447998868453537
-0.01285567574592555,-0.1424945997207904
-0.01285283574592556,-0.1444819162074829
-0.01284999574592555,-0.1436869896128081
-0.01284715574592556,-0.1413817024882406
-0.01284431574592555,-0.1447998868453579
-0.01284147574592556,-0.1447203941858901
-0.01283863574592555,-0.1417791657855845
-0.01283579574592555,-0.1443229308885509
-0.01283295574592556,-0.1459127840779049
-0.01283011574592555,-0.1477411152456682
-0.01282727574592556,-0.1474231446077968
-0.01282443574592555,-0.1536235720462887
-0.01282159574592556,-0.1470256813104576
-0.01281875574592555,-0.1498874170513049
-0.01281591574592555,-0.1525901674732067
-0.01281307574592556,-0.1510003142838527
-0.01281023574592555,-0.1501258950297035
-0.01280739574592556,-0.1522721968353353
-0.01280455574592555,-0.1498874170513
-0.01280171574592556,-0.1483770565214109
